customer_id,age,customer_tenure_years,annual_income,average_account_balance,monthly_spending,transaction_count,average_transaction_amount,recency_days,debit_ratio,credit_ratio,digital_usage_score,mobile_app_login_frequency,digital_transaction_ratio,products_held,engagement_score,spending_trend
C000066,34,2.3,76211,285887,1223.04,20,100.0,19.4,0.785,0.215,0.433,10.0,0.38,1,0.359,0.002
C000067,35,12.0,48672,219270,1000.0,6,179.04,105.2,0.939,0.061,0.293,6.0,0.158,1,0.382,-0.285
C000068,43,10.7,156834,123090,7536.07,52,115.22,12.4,0.511,0.489,0.608,11.0,0.411,7,0.608,-0.001
C000069,43,7.1,183576,717496,7187.83,55,130.5,18.1,0.695,0.305,0.631,9.0,0.453,5,0.543,0.175
C000070,38,11.3,187659,351909,5062.75,49,169.75,2.0,0.691,0.309,0.75,10.0,0.744,2,0.681,-0.14
C000071,43,9.2,56520,99660,2487.62,35,100.0,1.9,0.432,0.568,0.396,7.0,0.411,1,0.445,-0.017
C000072,36,11.4,347796,1655592,16358.91,65,227.82,50.1,0.853,0.147,0.674,13.0,0.616,3,0.526,0.074
C000073,26,6.3,65480,169019,2573.73,20,118.3,31.2,0.502,0.498,0.144,0.0,0.0,3,0.523,0.033
C000074,52,18.0,158158,1011371,5589.75,60,117.98,9.8,0.724,0.276,0.935,7.0,0.716,6,0.748,-0.159
C000075,70,5.6,118289,1001561,5747.39,57,100.0,3.7,0.639,0.361,0.585,6.0,0.32,1,0.7,0.119
C000076,34,7.9,208718,1637487,14206.35,56,195.72,33.5,0.674,0.326,0.714,10.0,0.444,6,0.768,0.063
C000077,33,5.9,63635,380672,2379.49,15,220.39,38.3,0.72,0.28,0.438,9.0,0.322,1,0.315,0.019
C000078,53,5.4,43703,72449,1024.07,12,100.0,175.4,0.738,0.262,0.528,9.0,0.337,2,0.487,-0.489
C000079,22,4.1,84790,816219,2288.29,36,100.0,7.1,0.686,0.314,0.796,11.0,0.459,1,0.892,-0.059
C000080,28,12.0,125984,467822,7145.79,47,157.77,5.7,0.732,0.268,0.691,8.0,0.312,4,0.649,-0.117
C000081,47,13.4,80001,329872,3617.86,63,100.0,3.9,0.687,0.313,0.588,12.0,0.509,3,0.435,-0.115
C000082,39,9.4,80732,176555,2585.54,45,100.0,15.2,0.646,0.354,0.349,5.0,0.164,2,0.522,0.06
C000083,41,8.3,103116,928264,6085.33,46,127.99,6.7,0.53,0.47,0.547,11.0,0.609,1,0.728,-0.203
C000084,64,2.9,66134,143917,2070.99,30,100.0,3.7,0.794,0.206,0.555,5.0,0.58,1,0.546,-0.161
C000085,50,2.6,105047,394296,3648.59,48,100.0,4.3,0.623,0.377,0.6,16.0,0.52,2,0.487,0.004
C000086,36,5.9,68338,92427,2495.45,39,100.0,4.7,0.593,0.407,0.51,7.0,0.388,2,0.364,0.092
C000087,48,8.7,149376,168645,7739.16,55,152.42,1.1,0.868,0.132,0.606,9.0,0.598,2,0.638,0.081
C000088,44,4.3,64554,333528,1449.09,5,261.29,107.3,0.718,0.282,0.069,4.0,0.0,1,0.196,-0.194
C000089,45,4.7,52138,405098,2199.91,21,100.0,40.5,0.693,0.307,0.611,11.0,0.731,3,0.487,-0.247
C000090,48,5.9,253770,2821837,17820.91,53,257.92,10.0,0.921,0.079,0.856,8.0,0.658,4,0.807,0.132
C000091,51,4.3,216244,808719,10319.35,69,168.34,6.8,0.692,0.308,0.65,13.0,0.747,4,0.521,0.105
C000092,39,5.9,69631,212102,3058.07,39,100.0,13.2,0.882,0.118,0.61,15.0,0.613,1,0.643,0.151
C000093,49,3.9,190670,939234,9704.23,57,143.19,14.5,0.739,0.261,0.698,13.0,0.494,6,0.757,-0.226
C000094,45,18.0,63260,253375,1765.95,56,100.0,4.8,0.892,0.108,0.637,11.0,0.569,1,0.43,0.095
C000095,38,8.3,66272,10631,2300.66,36,100.0,3.2,0.646,0.354,0.663,19.0,0.547,2,0.539,0.128
C000096,35,12.3,84795,431462,3581.44,61,100.0,45.7,0.611,0.389,0.602,11.0,0.405,3,0.427,0.056
C000097,21,8.9,45414,186992,1612.87,32,100.0,1.4,0.687,0.313,0.571,18.0,0.637,3,0.822,-0.133
C000098,27,6.9,315844,1577895,15951.15,61,333.67,8.2,0.919,0.081,0.774,7.0,0.535,6,0.731,0.074
C000099,30,4.1,48492,686443,1991.66,5,429.4,180.0,0.632,0.368,0.284,6.0,0.257,1,0.332,-0.117
C000100,42,7.1,68496,141738,1810.94,25,100.0,11.3,0.611,0.389,0.834,14.0,0.521,2,0.558,0.046
C000101,38,4.8,66948,973041,3338.25,37,107.22,7.4,0.438,0.562,0.567,8.0,0.408,2,0.523,0.141
C000102,31,9.1,79346,666526,2687.99,46,100.0,15.6,0.737,0.263,0.494,15.0,0.482,2,0.443,-0.051
C000103,38,4.4,57835,147997,2791.58,22,105.09,26.6,0.909,0.091,0.144,4.0,0.533,3,0.426,-0.264
C000104,34,12.4,60463,368521,2166.02,39,100.0,6.5,0.655,0.345,0.339,14.0,0.292,1,0.444,-0.309
C000105,21,7.5,73637,236473,3091.53,31,120.64,2.7,0.549,0.451,0.399,4.0,0.344,3,0.545,0.066
C000106,64,8.3,163908,899569,8017.72,38,231.42,23.2,0.541,0.459,0.383,8.0,0.305,2,0.249,-0.154
C000107,64,8.1,36750,379992,1542.92,11,112.68,180.0,0.73,0.27,0.472,6.0,0.386,1,0.366,-0.213
C000108,52,9.6,98578,424683,5052.0,58,100.0,5.2,0.768,0.232,0.793,17.0,0.618,3,0.39,0.155
C000109,61,3.8,80825,558242,1362.68,44,100.0,5.3,0.542,0.458,0.666,8.0,0.523,2,0.636,0.001
C000110,44,13.0,62180,196983,1430.59,11,159.21,83.5,0.934,0.066,0.315,10.0,0.234,1,0.234,-0.157
C000111,22,4.4,235613,1141110,12422.37,70,159.99,14.7,0.746,0.254,0.801,16.0,0.614,4,0.622,0.057
C000112,27,11.8,60948,356431,2801.27,30,103.01,6.0,0.766,0.234,0.662,10.0,0.663,2,0.547,-0.15
C000113,21,5.4,74981,1202145,2989.45,17,126.17,6.3,0.806,0.194,0.182,0.0,0.326,2,0.418,-0.126
C000114,57,7.5,66294,579506,3156.7,36,100.0,3.3,0.78,0.22,0.266,4.0,0.0,2,0.425,-0.035
C000115,58,5.7,103083,459162,4689.93,42,183.35,4.2,0.758,0.242,0.781,19.0,0.655,5,0.455,0.004
C000116,31,8.3,209348,192897,10319.51,51,223.6,13.5,0.565,0.435,0.678,9.0,0.795,7,0.758,0.245
C000117,37,4.5,36926,48140,1000.0,35,100.0,5.7,0.755,0.245,0.376,10.0,0.208,1,0.38,-0.024
C000118,41,1.9,54858,407837,2142.47,52,100.0,16.7,0.539,0.461,0.669,13.0,0.451,5,0.682,-0.03
C000119,36,3.3,105009,328588,4483.26,50,100.0,10.8,0.931,0.069,0.919,18.0,0.775,3,0.749,0.086
C000120,36,6.4,176997,776210,6968.89,64,134.38,9.1,0.887,0.113,0.715,5.0,0.812,6,0.643,0.019
C000121,59,7.3,126099,1046756,3407.68,47,100.0,10.0,0.745,0.255,0.543,6.0,0.53,4,0.476,0.089
C000122,38,7.2,73794,346669,3253.89,43,100.0,7.9,0.709,0.291,0.579,3.0,0.408,2,0.591,-0.234
C000123,47,3.2,84140,176801,3646.83,22,144.25,71.6,0.726,0.274,0.129,4.0,0.3,2,0.428,-0.123
C000124,35,3.7,118254,1056956,4648.46,37,122.3,6.0,0.704,0.296,0.607,9.0,0.401,5,0.827,0.104
C000125,21,1.2,100033,361871,5461.63,48,134.88,9.7,0.67,0.33,0.355,11.0,0.32,2,0.539,-0.081
C000126,46,3.8,78939,260950,2670.71,14,199.14,125.4,0.658,0.342,0.233,6.0,0.204,2,0.21,-0.174
C000127,31,7.4,118948,659379,4850.79,56,100.0,1.7,0.58,0.42,0.818,19.0,0.953,4,0.738,-0.162
C000128,36,5.9,79615,299497,2956.62,32,100.0,10.8,0.637,0.363,0.194,9.0,0.338,3,0.439,0.124
C000129,36,5.3,113001,768342,4091.63,40,100.0,5.1,0.688,0.312,0.557,8.0,0.513,3,0.728,0.019
C000130,37,1.3,88412,207498,4399.27,48,100.0,11.0,0.706,0.294,0.649,15.0,0.465,2,0.463,0.024
C000131,39,12.0,83423,130450,3893.8,46,100.0,5.6,0.659,0.341,0.888,17.0,0.794,3,0.681,0.039
C000132,29,9.3,348173,790657,14521.32,67,234.91,1.9,0.797,0.203,0.99,14.0,0.813,4,0.559,-0.062
C000133,40,11.4,53527,419729,2342.0,40,100.0,5.1,0.593,0.407,0.962,20.0,0.644,2,0.501,-0.09
C000134,42,8.2,121788,1149747,7680.12,66,155.36,16.5,0.492,0.508,0.554,6.0,0.285,4,0.501,0.112
C000135,39,5.8,58706,383974,2069.53,30,124.39,0.9,0.587,0.413,0.709,12.0,0.471,1,0.702,-0.161
C000136,48,4.7,64223,10000,1531.65,10,125.46,20.9,0.786,0.214,0.319,5.0,0.195,4,0.365,-0.194
C000137,36,0.9,83511,300790,4000.0,35,128.12,12.5,0.669,0.331,0.468,11.0,0.514,1,0.284,-0.095
C000138,40,8.9,69000,173393,2538.34,32,100.0,24.4,0.65,0.35,0.708,8.0,0.618,1,0.54,-0.091
C000139,25,9.2,171349,819572,4968.35,59,100.0,16.1,0.634,0.366,0.447,8.0,0.722,2,0.635,0.031
C000140,44,6.9,98895,370554,4485.03,28,153.05,5.2,0.665,0.335,0.814,16.0,0.621,2,0.429,0.055
C000141,50,5.0,57018,739882,2618.43,41,100.0,15.0,0.688,0.312,0.532,9.0,0.475,3,0.553,0.064
C000142,28,13.8,236392,256634,15791.38,54,292.86,9.6,0.93,0.07,0.842,13.0,0.548,4,0.631,0.046
C000143,49,8.7,41087,150817,1029.31,3,205.97,116.9,0.817,0.183,0.171,3.0,0.279,1,0.331,-0.118
C000144,35,6.4,71699,503978,2155.52,17,119.23,83.0,0.887,0.113,0.312,10.0,0.5,3,0.314,-0.004
C000145,31,6.4,80881,365920,2465.55,42,100.0,1.5,0.938,0.062,0.275,10.0,0.407,2,0.484,-0.057
C000146,36,5.5,70766,579003,2751.95,49,100.0,11.7,0.562,0.438,0.721,13.0,0.454,1,0.588,-0.074
C000147,38,8.4,51558,23114,1000.0,13,100.0,53.2,0.805,0.195,0.3,7.0,0.427,1,0.366,-0.198
C000148,46,15.6,62177,359266,2968.28,29,100.0,64.1,0.67,0.33,0.41,4.0,0.457,1,0.39,-0.161
C000149,55,7.1,63338,367583,2946.28,35,100.0,15.6,0.739,0.261,0.565,9.0,0.433,3,0.556,-0.192
C000150,33,4.5,85920,803146,4430.56,60,100.0,8.8,0.79,0.21,0.443,11.0,0.597,3,0.684,0.141
C000151,41,4.6,45891,323965,1842.78,37,100.0,11.2,0.601,0.399,0.877,22.0,0.722,1,0.653,0.145
C000152,41,0.9,52140,72039,1983.59,6,374.22,85.9,0.675,0.325,0.075,0.0,0.187,1,0.29,-0.356
C000153,42,2.7,90648,487717,5129.52,46,139.98,9.5,0.669,0.331,0.854,8.0,0.916,2,0.549,-0.037
C000154,33,8.9,277378,394042,13791.02,56,161.79,27.6,0.862,0.138,1.0,15.0,0.742,7,0.512,0.184
C000155,50,5.1,69887,189480,3298.24,8,431.8,177.9,0.932,0.068,0.17,5.0,0.108,1,0.253,-0.17
C000156,50,2.7,60024,461213,2679.14,32,100.0,4.4,0.71,0.29,0.95,14.0,0.806,1,0.564,-0.028
C000157,45,6.0,143254,585587,5135.43,55,100.0,4.1,0.684,0.316,0.675,9.0,0.49,3,0.744,0.014
C000158,25,6.3,44927,178776,1232.85,29,100.0,8.7,0.78,0.22,0.817,17.0,0.444,1,0.602,-0.05
C000159,44,9.7,68347,531907,3229.14,37,100.0,13.6,0.749,0.251,0.765,9.0,0.611,1,0.765,-0.026
C000160,55,6.2,68260,117353,1000.0,19,100.0,88.1,0.911,0.089,0.591,5.0,0.457,1,0.356,0.045
C000161,52,7.4,51098,182743,2580.03,17,183.99,1.1,0.71,0.29,0.652,16.0,0.402,2,0.416,-0.164
C000162,24,9.8,75982,243664,3684.42,33,116.31,7.4,0.843,0.157,0.801,16.0,0.679,2,0.598,-0.06
C000163,42,18.0,332809,1175853,18053.63,61,345.59,5.4,0.675,0.325,0.382,12.0,0.277,6,0.666,0.044
C000164,22,3.2,162658,954344,11053.86,55,214.37,14.3,0.522,0.478,0.531,14.0,0.571,2,0.57,0.119
C000165,28,6.9,51731,174804,2081.7,30,111.21,4.1,0.761,0.239,0.721,15.0,0.458,1,0.547,-0.034
C000166,47,3.9,134740,452727,5976.8,38,180.51,4.7,0.68,0.32,0.636,14.0,0.513,2,0.667,-0.018
C000167,30,2.4,187102,960338,8999.27,47,203.5,3.8,0.817,0.183,0.865,14.0,0.522,6,0.645,0.086
C000168,47,8.7,63657,195283,3520.16,25,185.81,32.1,0.821,0.179,0.496,9.0,0.269,2,0.599,-0.129
C000169,43,4.5,67408,455367,2465.57,38,100.0,12.0,0.675,0.325,0.408,9.0,0.0,1,0.441,0.05
C000170,52,5.5,229080,1137322,11053.35,54,146.61,2.6,0.936,0.064,0.732,3.0,0.626,3,0.67,-0.088
C000171,52,12.2,136227,754819,7109.14,48,117.41,4.1,0.736,0.264,0.491,6.0,0.505,4,0.575,-0.006
C000172,48,2.6,55263,89332,1268.25,25,100.0,3.3,0.691,0.309,0.689,12.0,0.565,1,0.612,0.039
C000173,26,15.2,80140,348406,4084.6,36,117.45,9.2,0.737,0.263,0.72,15.0,0.822,2,0.733,-0.135
C000174,35,6.2,63957,338330,1287.19,49,100.0,12.1,0.798,0.202,0.608,15.0,0.482,1,0.613,-0.19
C000175,42,17.7,148137,921172,6999.03,57,100.0,7.9,0.837,0.163,0.438,8.0,0.324,3,0.612,-0.051
C000176,24,11.2,223280,1112385,11729.77,52,208.58,7.4,0.764,0.236,0.506,12.0,0.259,5,0.551,-0.055
C000177,64,3.3,70641,192519,2007.79,6,385.39,180.0,0.808,0.192,0.274,12.0,0.09,1,0.34,0.026
C000178,23,2.6,68036,541134,2341.48,41,100.0,10.9,0.581,0.419,0.37,1.0,0.443,1,0.441,0.164
C000179,35,4.6,129396,278594,5047.02,52,103.95,1.8,0.632,0.368,0.347,4.0,0.352,2,0.533,-0.046
C000180,46,12.4,59863,367851,2867.92,31,100.0,4.0,0.804,0.196,0.852,20.0,0.543,1,0.647,0.05
C000181,53,6.0,95377,415690,4824.0,40,131.33,9.7,0.771,0.229,0.293,5.0,0.364,4,0.437,-0.06
C000182,47,10.9,49901,24480,1791.67,26,100.0,1.1,0.641,0.359,0.856,19.0,0.823,1,0.596,-0.021
C000183,42,5.2,65010,627218,1579.9,8,210.93,106.7,0.883,0.117,0.371,7.0,0.389,1,0.431,-0.144
C000184,47,5.9,84484,245769,3642.12,44,100.0,8.6,0.621,0.379,0.463,11.0,0.38,4,0.659,0.011
C000185,36,5.1,74318,212312,4168.25,37,123.61,5.8,0.745,0.255,0.749,6.0,0.791,1,0.716,-0.013
C000186,64,8.2,66530,194395,2898.53,27,100.0,13.2,0.766,0.234,0.694,7.0,0.415,2,0.67,-0.067
C000187,43,5.4,67612,55012,2184.4,7,291.68,48.0,0.821,0.179,0.18,4.0,0.218,2,0.364,-0.084
C000188,50,16.1,55504,85975,1792.35,10,182.12,180.0,0.734,0.266,0.109,5.0,0.228,1,0.303,-0.177
C000189,51,6.6,179532,585178,7221.82,41,224.3,6.4,0.703,0.297,0.683,12.0,0.539,2,0.652,-0.075
C000190,29,18.0,53284,397189,2437.3,11,185.48,180.0,0.713,0.287,0.427,4.0,0.435,1,0.342,-0.029
C000191,28,10.7,212650,551705,10140.11,60,111.46,6.2,0.553,0.447,0.754,14.0,0.511,6,0.596,0.119
C000192,49,7.3,71718,146673,3245.16,43,100.0,20.9,0.727,0.273,0.285,6.0,0.186,3,0.556,0.028
C000193,44,1.1,102358,532574,4512.85,58,104.98,7.5,0.737,0.263,0.775,19.0,0.605,5,0.669,0.082
C000194,53,8.7,49141,249724,2073.01,37,100.0,4.7,0.78,0.22,0.877,15.0,0.501,3,0.725,0.095
C000195,56,3.5,66540,630292,1616.57,18,100.0,96.3,0.661,0.339,0.415,19.0,0.184,2,0.286,-0.087
C000196,38,17.5,72359,417684,2800.25,42,100.0,0.2,0.898,0.102,0.779,16.0,0.762,2,0.706,-0.099
C000197,37,9.1,89296,280544,4499.31,35,119.05,8.6,0.743,0.257,0.596,11.0,0.495,2,0.369,-0.065
C000198,47,5.1,86099,104090,2913.02,41,100.0,13.8,0.57,0.43,0.774,8.0,0.548,4,0.918,0.094
C000199,38,4.7,86946,374046,3201.27,47,100.0,2.0,0.647,0.353,0.094,2.0,0.182,4,0.599,-0.191
C000200,60,5.6,70095,1178883,3171.89,36,101.29,7.5,0.666,0.334,0.494,2.0,0.597,2,0.634,0.007
C000201,49,12.2,66779,140808,3251.93,27,122.98,2.2,0.595,0.405,0.636,11.0,0.416,1,0.368,-0.106
C000202,32,6.9,58116,67849,2183.96,22,100.0,6.7,0.725,0.275,0.765,19.0,0.375,3,0.544,0.094
C000203,33,18.0,69757,74442,2217.82,8,231.65,59.4,0.555,0.445,0.04,7.0,0.033,1,0.262,-0.227
C000204,42,6.1,88691,122266,3104.57,34,100.0,6.3,0.408,0.592,0.544,12.0,0.505,2,0.525,-0.055
C000205,44,7.2,79791,417821,3229.5,16,224.52,145.2,0.788,0.212,0.552,4.0,0.31,1,0.531,-0.188
C000206,38,5.3,104938,232717,3218.31,44,100.0,10.1,0.821,0.179,0.508,12.0,0.327,3,0.667,0.015
C000207,50,1.6,196347,941478,11222.34,63,187.33,21.5,0.706,0.294,0.918,18.0,0.718,7,0.731,0.047
C000208,40,3.3,33181,140328,1023.67,24,100.0,6.5,0.552,0.448,0.912,14.0,0.893,2,0.504,-0.001
C000209,34,11.3,78322,123121,3304.9,28,115.72,2.3,0.474,0.526,0.729,17.0,0.823,1,0.564,-0.031
C000210,65,9.2,50984,310309,1951.09,29,100.0,4.4,0.869,0.131,0.744,13.0,0.718,1,0.587,0.074
C000211,53,3.2,75089,611053,2169.35,48,100.0,9.0,0.741,0.259,0.552,13.0,0.435,2,0.498,-0.225
C000212,63,3.1,60255,168704,1228.42,37,100.0,5.2,0.746,0.254,0.862,15.0,0.472,1,0.684,0.023
C000213,31,5.3,77341,481640,2391.63,40,100.0,11.0,0.791,0.209,0.485,12.0,0.49,2,0.624,0.027
C000214,25,2.3,243237,425974,10968.23,57,235.1,13.2,0.728,0.272,0.807,11.0,0.836,5,0.653,-0.228
C000215,21,8.2,77774,254110,3412.79,20,156.35,54.2,0.772,0.228,0.478,10.0,0.367,2,0.462,-0.219
C000216,31,5.2,50372,16806,1199.49,21,100.0,53.5,0.805,0.195,0.691,12.0,0.629,1,0.611,0.08
C000217,33,1.2,247083,1360422,9425.06,60,108.87,16.9,0.794,0.206,0.822,20.0,0.793,4,0.684,0.224
C000218,24,4.3,163666,684160,4279.55,47,100.0,6.1,0.627,0.373,0.488,6.0,0.389,4,0.623,-0.02
C000219,56,8.5,112069,157873,2934.24,56,100.0,6.2,0.641,0.359,0.692,17.0,0.505,4,0.489,0.03
C000220,51,13.3,86933,619627,5071.6,31,151.87,5.1,0.686,0.314,0.912,13.0,0.656,3,0.67,-0.066
C000221,30,6.5,90382,529577,2880.08,41,100.0,1.7,0.745,0.255,0.84,18.0,0.462,3,0.849,0.028
C000222,38,5.6,88667,255151,4146.08,35,117.92,11.4,0.764,0.236,0.162,0.0,0.171,4,0.515,0.151
C000223,52,12.7,113262,965912,4188.79,60,100.0,12.9,0.618,0.382,0.78,14.0,0.582,4,0.784,-0.059
