recommendation_id,customer_id,product_id,recommendation_date,suitability_score,accepted,converted
R000011_01,C000011,P008,2026-04-18,0.309,0,0
R000011_02,C000011,P008,2026-02-11,0.481,1,0
R000012_01,C000012,P006,2026-03-17,0.297,0,0
R000012_02,C000012,P004,2026-05-25,0.456,0,0
R000012_03,C000012,P002,2026-05-18,0.586,0,0
R000012_04,C000012,P003,2026-07-17,0.431,0,0
R000012_05,C000012,P003,2026-03-10,0.406,1,1
R000013_01,C000013,P005,2026-03-10,0.362,0,0
R000013_02,C000013,P004,2026-02-23,0.658,1,1
R000014_01,C000014,P004,2026-05-30,0.57,1,0
R000014_02,C000014,P002,2026-05-29,0.573,1,1
R000014_03,C000014,P006,2026-04-13,0.463,1,0
R000014_04,C000014,P005,2026-02-28,0.795,0,0
R000015_01,C000015,P008,2026-02-21,0.584,0,0
R000015_02,C000015,P003,2026-06-04,0.587,0,0
R000016_01,C000016,P002,2026-07-12,0.443,1,1
R000016_02,C000016,P001,2026-04-06,0.55,1,0
R000016_03,C000016,P002,2026-07-14,0.418,1,0
R000017_01,C000017,P005,2026-04-07,0.152,0,0
R000017_02,C000017,P007,2026-07-22,0.299,1,0
R000018_01,C000018,P002,2026-07-26,0.496,0,0
R000018_02,C000018,P002,2026-02-17,0.488,0,0
R000018_03,C000018,P001,2026-02-23,0.637,0,0
R000018_04,C000018,P003,2026-05-17,0.416,0,0
R000018_05,C000018,P002,2026-08-18,0.543,1,0
R000019_01,C000019,P002,2026-04-27,0.518,0,0
R000019_02,C000019,P001,2026-04-22,0.445,0,0
R000019_03,C000019,P003,2026-04-15,0.3,0,0
R000020_01,C000020,P002,2026-06-05,0.398,0,0
R000020_02,C000020,P006,2026-07-21,0.279,0,0
R000020_03,C000020,P006,2026-03-09,0.3,1,1
R000020_04,C000020,P001,2026-04-13,0.381,0,0
R000020_05,C000020,P005,2026-03-08,0.435,1,1
R000021_01,C000021,P004,2026-07-28,0.32,0,0
R000021_02,C000021,P004,2026-05-28,0.326,1,0
R000022_01,C000022,P005,2026-05-12,0.262,0,0
R000022_02,C000022,P006,2026-03-29,0.166,0,0
R000022_03,C000022,P003,2026-06-02,0.449,0,0
R000023_01,C000023,P003,2026-03-24,0.54,1,0
R000023_02,C000023,P003,2026-02-21,0.66,1,0
R000023_03,C000023,P007,2026-03-17,0.531,0,0
R000023_04,C000023,P004,2026-06-18,0.513,0,0
R000023_05,C000023,P007,2026-08-12,0.729,1,1
R000024_01,C000024,P002,2026-07-22,0.707,1,0
R000024_02,C000024,P001,2026-05-24,0.678,1,0
R000024_03,C000024,P005,2026-06-29,0.762,0,0
R000024_04,C000024,P007,2026-05-14,0.434,1,0
R000024_05,C000024,P008,2026-05-16,0.424,0,0
R000025_01,C000025,P001,2026-02-19,0.397,0,0
R000025_02,C000025,P005,2026-03-11,0.434,0,0
R000025_03,C000025,P004,2026-06-01,0.459,0,0
R000025_04,C000025,P003,2026-03-11,0.365,1,0
R000026_01,C000026,P005,2026-06-27,0.471,1,0
R000026_02,C000026,P005,2026-07-20,0.695,0,0
R000027_01,C000027,P003,2026-03-17,0.369,1,1
R000027_02,C000027,P004,2026-04-08,0.373,0,0
R000027_03,C000027,P004,2026-04-18,0.507,0,0
R000028_01,C000028,P006,2026-03-10,0.751,0,0
R000028_02,C000028,P003,2026-08-12,0.526,0,0
R000028_03,C000028,P008,2026-04-30,0.795,1,0
R000028_04,C000028,P007,2026-05-22,0.755,1,1
R000029_01,C000029,P002,2026-08-06,0.346,1,0
R000029_02,C000029,P008,2026-08-16,0.528,0,0
R000029_03,C000029,P002,2026-06-24,0.574,0,0
R000029_04,C000029,P004,2026-07-29,0.577,1,0
R000030_01,C000030,P001,2026-06-22,0.407,1,0
R000030_02,C000030,P004,2026-05-23,0.45,0,0
R000030_03,C000030,P008,2026-08-03,0.207,0,0
R000030_04,C000030,P004,2026-08-03,0.169,0,0
R000031_01,C000031,P002,2026-05-10,0.324,0,0
R000031_02,C000031,P004,2026-07-07,0.215,0,0
R000031_03,C000031,P004,2026-06-16,0.267,0,0
R000032_01,C000032,P007,2026-03-29,0.556,0,0
R000032_02,C000032,P005,2026-06-22,0.461,0,0
R000032_03,C000032,P002,2026-06-22,0.363,0,0
R000033_01,C000033,P001,2026-02-24,0.373,0,0
R000033_02,C000033,P005,2026-04-06,0.319,0,0
R000033_03,C000033,P004,2026-05-10,0.384,0,0
R000033_04,C000033,P007,2026-07-13,0.501,0,0
R000034_01,C000034,P007,2026-07-05,0.606,0,0
R000034_02,C000034,P001,2026-04-10,0.425,0,0
R000035_01,C000035,P007,2026-03-08,0.7,0,0
R000035_02,C000035,P005,2026-05-10,0.313,0,0
R000035_03,C000035,P004,2026-06-29,0.294,0,0
R000036_01,C000036,P007,2026-06-16,0.426,0,0
R000036_02,C000036,P004,2026-03-12,0.668,1,0
R000036_03,C000036,P003,2026-04-24,0.457,1,0
R000036_04,C000036,P006,2026-05-19,0.42,0,0
R000037_01,C000037,P001,2026-06-04,0.368,1,0
R000037_02,C000037,P007,2026-05-15,0.588,0,0
R000037_03,C000037,P004,2026-07-28,0.454,0,0
R000037_04,C000037,P004,2026-03-13,0.537,0,0
R000037_05,C000037,P007,2026-06-10,0.398,0,0
R000038_01,C000038,P002,2026-05-30,0.512,0,0
R000038_02,C000038,P008,2026-05-03,0.579,0,0
R000038_03,C000038,P002,2026-05-28,0.449,0,0
R000038_04,C000038,P003,2026-08-02,0.737,1,0
R000038_05,C000038,P004,2026-04-07,0.461,0,0
R000039_01,C000039,P008,2026-04-27,0.387,1,0
R000039_02,C000039,P004,2026-06-17,0.443,1,0
R000039_03,C000039,P008,2026-07-12,0.599,1,1
R000040_01,C000040,P006,2026-07-30,0.397,1,0
R000040_02,C000040,P006,2026-04-02,0.217,0,0
R000040_03,C000040,P004,2026-03-07,0.38,0,0
R000040_04,C000040,P003,2026-06-29,0.219,1,0
R000041_01,C000041,P008,2026-06-08,0.237,0,0
R000041_02,C000041,P006,2026-07-02,0.343,0,0
R000041_03,C000041,P004,2026-08-18,0.451,1,1
R000041_04,C000041,P003,2026-06-16,0.387,0,0
R000041_05,C000041,P007,2026-06-10,0.432,0,0
R000042_01,C000042,P004,2026-02-28,0.618,0,0
R000042_02,C000042,P003,2026-07-30,0.747,1,0
R000042_03,C000042,P004,2026-06-20,0.424,1,0
R000042_04,C000042,P001,2026-02-15,0.784,0,0
R000043_01,C000043,P007,2026-02-11,0.281,1,0
R000043_02,C000043,P008,2026-04-23,0.552,0,0
R000043_03,C000043,P006,2026-04-17,0.439,0,0
R000043_04,C000043,P008,2026-04-06,0.498,0,0
R000043_05,C000043,P008,2026-02-19,0.532,1,0
R000044_01,C000044,P003,2026-06-15,0.414,0,0
R000044_02,C000044,P004,2026-06-30,0.307,1,0
R000045_01,C000045,P006,2026-02-14,0.521,1,0
R000045_02,C000045,P006,2026-04-13,0.42,0,0
R000045_03,C000045,P001,2026-03-22,0.605,1,1
R000045_04,C000045,P008,2026-05-18,0.6,0,0
R000046_01,C000046,P006,2026-03-10,0.626,1,0
R000046_02,C000046,P003,2026-03-24,0.474,1,0
R000047_01,C000047,P005,2026-07-12,0.669,0,0
R000047_02,C000047,P001,2026-03-05,0.549,1,0
R000047_03,C000047,P001,2026-07-09,0.447,1,0
R000048_01,C000048,P002,2026-03-20,0.478,0,0
R000048_02,C000048,P007,2026-08-15,0.337,0,0
R000048_03,C000048,P003,2026-05-14,0.51,1,0
R000049_01,C000049,P003,2026-08-08,0.33,1,0
R000049_02,C000049,P004,2026-03-14,0.408,1,0
R000049_03,C000049,P007,2026-06-04,0.62,1,0
R000050_01,C000050,P001,2026-03-07,0.24,0,0
R000050_02,C000050,P007,2026-07-22,0.445,0,0
R000050_03,C000050,P002,2026-03-16,0.361,0,0
R000050_04,C000050,P003,2026-06-05,0.419,1,0
R000050_05,C000050,P001,2026-05-15,0.557,1,0
R000051_01,C000051,P008,2026-04-03,0.118,1,0
R000051_02,C000051,P001,2026-08-07,0.294,0,0
R000052_01,C000052,P003,2026-07-18,0.628,1,0
R000052_02,C000052,P005,2026-02-16,0.435,0,0
R000052_03,C000052,P006,2026-06-29,0.471,0,0
R000052_04,C000052,P002,2026-06-05,0.497,0,0
R000052_05,C000052,P008,2026-03-25,0.205,1,1
R000053_01,C000053,P007,2026-05-10,0.516,0,0
R000053_02,C000053,P007,2026-02-19,0.318,0,0
R000053_03,C000053,P002,2026-04-06,0.594,1,1
R000053_04,C000053,P001,2026-04-26,0.56,0,0
R000053_05,C000053,P005,2026-02-18,0.416,0,0
R000054_01,C000054,P002,2026-06-11,0.357,0,0
R000054_02,C000054,P007,2026-06-18,0.416,0,0
R000054_03,C000054,P008,2026-04-06,0.569,0,0
R000055_01,C000055,P002,2026-04-25,0.348,0,0
R000055_02,C000055,P007,2026-03-21,0.472,1,0
R000055_03,C000055,P006,2026-04-17,0.613,1,1
R000055_04,C000055,P006,2026-04-08,0.388,1,1
R000056_01,C000056,P001,2026-03-27,0.459,1,1
R000056_02,C000056,P001,2026-02-21,0.441,0,0
R000056_03,C000056,P002,2026-06-16,0.542,0,0
R000056_04,C000056,P002,2026-04-29,0.484,1,0
R000057_01,C000057,P007,2026-03-16,0.706,0,0
R000057_02,C000057,P002,2026-04-16,0.603,0,0
R000057_03,C000057,P006,2026-04-03,0.502,1,0
R000057_04,C000057,P008,2026-05-15,0.461,0,0
R000057_05,C000057,P002,2026-07-26,0.484,0,0
R000058_01,C000058,P007,2026-04-29,0.329,0,0
R000058_02,C000058,P007,2026-05-12,0.427,0,0
R000058_03,C000058,P007,2026-03-03,0.329,0,0
R000059_01,C000059,P001,2026-05-16,0.388,0,0
R000059_02,C000059,P003,2026-04-08,0.399,0,0
R000060_01,C000060,P003,2026-07-05,0.286,0,0
R000060_02,C000060,P006,2026-06-11,0.456,1,0
R000060_03,C000060,P001,2026-06-02,0.448,0,0
R000061_01,C000061,P008,2026-06-28,0.407,1,1
R000061_02,C000061,P005,2026-08-03,0.394,0,0
R000061_03,C000061,P001,2026-06-25,0.438,0,0
R000061_04,C000061,P003,2026-03-12,0.19,0,0
R000061_05,C000061,P007,2026-04-26,0.054,0,0
R000062_01,C000062,P004,2026-04-15,0.584,0,0
R000062_02,C000062,P001,2026-08-03,0.748,1,0
R000062_03,C000062,P005,2026-07-20,0.671,0,0
R000063_01,C000063,P001,2026-03-21,0.431,0,0
R000063_02,C000063,P007,2026-05-04,0.398,0,0
R000063_03,C000063,P008,2026-04-17,0.349,0,0
R000064_01,C000064,P007,2026-04-30,0.506,0,0
R000064_02,C000064,P004,2026-02-11,0.515,0,0
R000064_03,C000064,P006,2026-06-16,0.512,1,0
R000065_01,C000065,P004,2026-06-01,0.434,0,0
R000065_02,C000065,P008,2026-07-19,0.272,0,0
R000065_03,C000065,P006,2026-05-08,0.356,1,0
R000065_04,C000065,P004,2026-04-09,0.504,0,0
R000065_05,C000065,P004,2026-05-22,0.465,0,0
R000066_01,C000066,P008,2026-07-01,0.262,0,0
R000066_02,C000066,P004,2026-06-07,0.313,1,1
R000066_03,C000066,P005,2026-02-16,0.492,0,0
R000067_01,C000067,P006,2026-07-28,0.189,0,0
R000067_02,C000067,P001,2026-04-29,0.316,0,0
R000067_03,C000067,P008,2026-08-03,0.227,0,0
R000067_04,C000067,P002,2026-04-12,0.24,0,0
R000067_05,C000067,P004,2026-04-04,0.316,0,0
R000068_01,C000068,P005,2026-04-01,0.394,0,0
R000068_02,C000068,P007,2026-02-19,0.129,0,0
R000068_03,C000068,P005,2026-04-22,0.397,0,0
R000068_04,C000068,P001,2026-05-30,0.369,0,0
R000069_01,C000069,P001,2026-08-10,0.733,0,0
R000069_02,C000069,P003,2026-06-01,0.587,0,0
R000069_03,C000069,P004,2026-02-19,0.441,0,0
R000070_01,C000070,P003,2026-03-23,0.42,1,1
R000070_02,C000070,P005,2026-02-28,0.504,0,0
R000070_03,C000070,P002,2026-03-06,0.621,0,0
R000070_04,C000070,P001,2026-07-23,0.507,1,1
R000071_01,C000071,P004,2026-07-11,0.01,0,0
R000071_02,C000071,P007,2026-03-07,0.169,0,0
R000071_03,C000071,P006,2026-07-27,0.19,0,0
R000072_01,C000072,P007,2026-03-12,0.632,1,1
R000072_02,C000072,P007,2026-04-30,0.603,0,0
R000073_01,C000073,P004,2026-05-28,0.349,1,0
R000073_02,C000073,P007,2026-06-16,0.482,0,0
R000073_03,C000073,P002,2026-08-10,0.068,0,0
R000073_04,C000073,P004,2026-03-09,0.504,1,1
R000073_05,C000073,P007,2026-03-01,0.141,0,0
R000074_01,C000074,P003,2026-08-15,0.708,1,0
R000074_02,C000074,P008,2026-07-07,0.636,0,0
R000075_01,C000075,P007,2026-03-01,0.466,0,0
R000075_02,C000075,P001,2026-08-14,0.618,1,1
R000075_03,C000075,P002,2026-06-15,0.404,0,0
R000075_04,C000075,P003,2026-03-03,0.557,1,0
R000076_01,C000076,P008,2026-06-06,0.758,1,1
R000076_02,C000076,P001,2026-04-19,0.668,1,1
R000076_03,C000076,P001,2026-07-18,0.315,0,0
R000076_04,C000076,P004,2026-06-09,0.579,0,0
R000076_05,C000076,P003,2026-05-26,0.651,0,0
R000077_01,C000077,P007,2026-04-28,0.472,1,1
R000077_02,C000077,P002,2026-06-20,0.373,0,0
R000077_03,C000077,P003,2026-03-14,0.343,1,0
R000077_04,C000077,P004,2026-05-20,0.208,0,0
R000077_05,C000077,P004,2026-06-09,0.612,1,0
R000078_01,C000078,P007,2026-06-07,0.334,1,1
R000078_02,C000078,P001,2026-04-26,0.379,0,0
R000078_03,C000078,P007,2026-02-11,0.436,0,0
R000079_01,C000079,P005,2026-02-26,0.521,0,0
R000079_02,C000079,P008,2026-04-27,0.563,1,0
R000080_01,C000080,P002,2026-06-15,0.604,0,0
R000080_02,C000080,P002,2026-05-08,0.369,0,0
R000080_03,C000080,P003,2026-05-22,0.266,0,0
R000081_01,C000081,P008,2026-06-01,0.475,0,0
R000081_02,C000081,P004,2026-06-13,0.448,0,0
R000081_03,C000081,P005,2026-08-01,0.439,0,0
R000081_04,C000081,P004,2026-02-21,0.447,0,0
R000081_05,C000081,P001,2026-05-14,0.385,1,0
R000082_01,C000082,P004,2026-02-23,0.179,0,0
R000082_02,C000082,P003,2026-02-18,0.315,0,0
R000083_01,C000083,P002,2026-04-18,0.444,0,0
R000083_02,C000083,P008,2026-03-26,0.432,1,0
R000083_03,C000083,P005,2026-04-27,0.683,1,1
R000083_04,C000083,P007,2026-08-02,0.739,0,0
R000083_05,C000083,P003,2026-06-29,0.665,1,0
R000084_01,C000084,P008,2026-07-24,0.524,0,0
R000084_02,C000084,P002,2026-06-21,0.611,0,0
R000085_01,C000085,P006,2026-07-20,0.55,0,0
R000085_02,C000085,P001,2026-05-11,0.581,0,0
R000085_03,C000085,P005,2026-05-12,0.464,1,1
R000085_04,C000085,P001,2026-05-26,0.574,1,1
R000085_05,C000085,P004,2026-07-09,0.35,0,0
R000086_01,C000086,P003,2026-02-28,0.282,0,0
R000086_02,C000086,P002,2026-07-17,0.292,1,0
R000087_01,C000087,P005,2026-05-23,0.314,0,0
R000087_02,C000087,P003,2026-04-02,0.393,1,0
R000087_03,C000087,P007,2026-06-01,0.32,0,0
R000088_01,C000088,P002,2026-07-01,0.237,0,0
R000088_02,C000088,P003,2026-04-14,0.412,0,0
R000088_03,C000088,P008,2026-08-10,0.238,0,0
R000089_01,C000089,P001,2026-06-12,0.426,1,1
R000089_02,C000089,P007,2026-03-08,0.42,0,0
R000089_03,C000089,P002,2026-07-25,0.545,0,0
R000090_01,C000090,P003,2026-08-13,0.61,0,0
R000090_02,C000090,P002,2026-04-03,0.761,0,0
R000090_03,C000090,P008,2026-03-12,0.792,0,0
R000090_04,C000090,P002,2026-08-13,0.643,1,0
R000091_01,C000091,P008,2026-02-27,0.629,0,0
R000091_02,C000091,P008,2026-03-04,0.413,0,0
R000091_03,C000091,P005,2026-02-17,0.527,0,0
R000091_04,C000091,P007,2026-03-16,0.582,1,0
R000092_01,C000092,P008,2026-03-11,0.215,0,0
R000092_02,C000092,P005,2026-04-11,0.228,0,0
R000092_03,C000092,P002,2026-07-13,0.64,0,0
R000092_04,C000092,P004,2026-06-06,0.527,1,1
R000093_01,C000093,P006,2026-03-29,0.662,0,0
R000093_02,C000093,P002,2026-08-02,0.701,1,1
R000093_03,C000093,P003,2026-03-26,0.803,1,1
R000093_04,C000093,P006,2026-06-10,0.726,0,0
R000094_01,C000094,P001,2026-03-16,0.382,1,0
R000094_02,C000094,P005,2026-05-02,0.291,0,0
R000095_01,C000095,P008,2026-03-30,0.38,0,0
R000095_02,C000095,P007,2026-03-05,0.49,0,0
R000095_03,C000095,P007,2026-02-19,0.365,1,1
R000095_04,C000095,P008,2026-05-28,0.497,0,0
R000096_01,C000096,P005,2026-07-27,0.114,0,0
R000096_02,C000096,P006,2026-07-02,0.512,0,0
R000097_01,C000097,P005,2026-07-27,0.397,0,0
R000097_02,C000097,P001,2026-06-11,0.559,0,0
R000098_01,C000098,P008,2026-08-10,0.754,1,0
R000098_02,C000098,P003,2026-08-13,0.553,0,0
R000098_03,C000098,P001,2026-04-26,0.664,1,1
R000098_04,C000098,P005,2026-07-21,0.659,0,0
R000098_05,C000098,P001,2026-07-26,0.594,0,0
R000099_01,C000099,P007,2026-07-11,0.475,1,0
R000099_02,C000099,P008,2026-04-17,0.357,0,0
R000099_03,C000099,P007,2026-03-23,0.324,0,0
R000099_04,C000099,P006,2026-03-24,0.339,0,0
R000099_05,C000099,P003,2026-03-22,0.516,0,0
R000100_01,C000100,P001,2026-03-11,0.696,0,0
R000100_02,C000100,P005,2026-05-12,0.401,1,0
R000100_03,C000100,P004,2026-06-12,0.362,0,0
R000100_04,C000100,P001,2026-05-01,0.491,1,0
R000100_05,C000100,P002,2026-05-17,0.082,0,0
R000101_01,C000101,P008,2026-07-19,0.491,0,0
R000101_02,C000101,P003,2026-07-01,0.59,0,0
R000101_03,C000101,P006,2026-02-26,0.47,1,0
R000102_01,C000102,P008,2026-08-11,0.473,0,0
R000102_02,C000102,P008,2026-06-23,0.563,0,0
R000102_03,C000102,P001,2026-02-12,0.586,1,1
R000102_04,C000102,P004,2026-03-09,0.871,0,0
R000103_01,C000103,P008,2026-02-19,0.151,1,0
R000103_02,C000103,P008,2026-08-07,0.179,1,0
R000104_01,C000104,P004,2026-06-03,0.27,0,0
R000104_02,C000104,P005,2026-06-27,0.581,0,0
R000104_03,C000104,P002,2026-08-09,0.599,0,0
R000104_04,C000104,P008,2026-04-30,0.364,0,0
R000104_05,C000104,P006,2026-03-25,0.477,1,1
R000105_01,C000105,P006,2026-07-27,0.488,0,0
R000105_02,C000105,P007,2026-07-06,0.21,0,0
R000105_03,C000105,P007,2026-06-10,0.176,0,0
R000105_04,C000105,P005,2026-02-16,0.345,0,0
R000106_01,C000106,P003,2026-05-24,0.547,1,1
R000106_02,C000106,P005,2026-03-23,0.45,0,0
R000106_03,C000106,P008,2026-06-04,0.496,0,0
R000107_01,C000107,P006,2026-05-09,0.231,0,0
R000107_02,C000107,P007,2026-03-28,0.557,1,0
R000108_01,C000108,P001,2026-04-18,0.412,1,0
R000108_02,C000108,P005,2026-07-28,0.465,0,0
R000108_03,C000108,P002,2026-05-06,0.585,1,0
R000108_04,C000108,P007,2026-06-28,0.46,0,0
R000108_05,C000108,P003,2026-05-11,0.449,1,0
R000109_01,C000109,P002,2026-06-08,0.65,0,0
R000109_02,C000109,P004,2026-04-28,0.384,1,0
R000109_03,C000109,P007,2026-03-27,0.639,1,0
R000109_04,C000109,P007,2026-07-18,0.257,1,1
R000110_01,C000110,P005,2026-04-10,0.345,0,0
R000110_02,C000110,P005,2026-03-20,0.245,1,0
R000111_01,C000111,P002,2026-05-26,0.774,1,1
R000111_02,C000111,P008,2026-07-07,0.877,0,0
R000111_03,C000111,P006,2026-06-04,0.938,1,0
R000112_01,C000112,P007,2026-03-05,0.252,1,0
R000112_02,C000112,P004,2026-03-22,0.5,1,0
R000112_03,C000112,P007,2026-07-07,0.31,0,0
R000112_04,C000112,P005,2026-05-10,0.387,0,0
R000113_01,C000113,P004,2026-02-20,0.474,0,0
R000113_02,C000113,P004,2026-03-12,0.614,0,0
R000113_03,C000113,P004,2026-02-19,0.488,0,0
R000113_04,C000113,P007,2026-06-22,0.322,1,0
R000113_05,C000113,P003,2026-06-18,0.531,1,0
R000114_01,C000114,P004,2026-03-13,0.411,0,0
R000114_02,C000114,P007,2026-02-25,0.26,0,0
R000114_03,C000114,P003,2026-03-01,0.363,1,0
R000114_04,C000114,P003,2026-04-21,0.309,0,0
R000115_01,C000115,P004,2026-04-29,0.37,0,0
R000115_02,C000115,P005,2026-06-24,0.497,0,0
R000115_03,C000115,P002,2026-07-08,0.353,1,1
R000115_04,C000115,P004,2026-05-24,0.237,1,0
R000115_05,C000115,P005,2026-04-03,0.292,0,0
R000116_01,C000116,P004,2026-05-18,0.318,0,0
R000116_02,C000116,P006,2026-06-09,0.604,0,0
R000116_03,C000116,P004,2026-06-02,0.298,0,0
R000117_01,C000117,P006,2026-04-23,0.162,0,0
R000117_02,C000117,P006,2026-05-10,0.258,1,0
R000117_03,C000117,P004,2026-07-19,0.338,0,0
R000118_01,C000118,P007,2026-03-12,0.289,0,0
R000118_02,C000118,P008,2026-05-23,0.485,1,0
R000118_03,C000118,P004,2026-06-08,0.679,1,1
R000118_04,C000118,P005,2026-04-05,0.458,0,0
R000118_05,C000118,P003,2026-04-28,0.58,1,0
R000119_01,C000119,P005,2026-03-08,0.423,1,0
R000119_02,C000119,P004,2026-04-06,0.526,1,0
R000119_03,C000119,P003,2026-03-25,0.56,0,0
R000119_04,C000119,P005,2026-08-06,0.544,0,0
R000120_01,C000120,P001,2026-04-30,0.61,0,0
R000120_02,C000120,P003,2026-06-12,0.599,0,0
R000120_03,C000120,P007,2026-06-16,0.499,1,0
R000120_04,C000120,P008,2026-02-20,0.719,0,0
R000120_05,C000120,P003,2026-03-18,0.698,0,0
R000121_01,C000121,P006,2026-07-19,0.466,0,0
R000121_02,C000121,P003,2026-04-03,0.594,0,0
R000121_03,C000121,P001,2026-03-24,0.615,1,1
R000122_01,C000122,P005,2026-07-09,0.327,0,0
R000122_02,C000122,P004,2026-06-03,0.388,1,0
R000123_01,C000123,P003,2026-05-27,0.255,0,0
R000123_02,C000123,P007,2026-07-07,0.341,1,0
R000124_01,C000124,P005,2026-03-30,0.774,0,0
R000124_02,C000124,P004,2026-02-24,0.564,0,0
R000125_01,C000125,P001,2026-06-08,0.477,1,0
R000125_02,C000125,P003,2026-03-03,0.44,0,0
R000126_01,C000126,P006,2026-08-08,0.352,0,0
R000126_02,C000126,P001,2026-06-08,0.371,0,0
R000126_03,C000126,P006,2026-04-09,0.388,1,1
R000126_04,C000126,P005,2026-07-01,0.395,1,0
R000126_05,C000126,P008,2026-06-25,0.3,0,0
R000127_01,C000127,P006,2026-02-18,0.477,0,0
R000127_02,C000127,P008,2026-04-08,0.672,1,0
R000128_01,C000128,P002,2026-05-18,0.246,0,0
R000128_02,C000128,P001,2026-07-02,0.282,0,0
R000129_01,C000129,P001,2026-05-05,0.343,0,0
R000129_02,C000129,P006,2026-02-19,0.477,0,0
R000130_01,C000130,P002,2026-03-29,0.382,0,0
R000130_02,C000130,P001,2026-08-13,0.212,0,0
R000131_01,C000131,P001,2026-04-11,0.528,1,0
R000131_02,C000131,P002,2026-05-13,0.191,0,0
R000131_03,C000131,P004,2026-04-16,0.274,1,0
R000131_04,C000131,P007,2026-05-22,0.403,1,1
R000132_01,C000132,P003,2026-03-05,0.786,1,1
R000132_02,C000132,P005,2026-07-17,0.646,0,0
R000132_03,C000132,P008,2026-06-28,0.833,1,0
R000133_01,C000133,P006,2026-03-14,0.404,0,0
R000133_02,C000133,P004,2026-02-17,0.564,1,1
R000133_03,C000133,P001,2026-04-13,0.46,0,0
R000134_01,C000134,P006,2026-08-16,0.619,1,0
R000134_02,C000134,P006,2026-02-23,0.9,0,0
R000135_01,C000135,P005,2026-04-19,0.672,1,1
R000135_02,C000135,P008,2026-06-08,0.467,1,0
R000135_03,C000135,P008,2026-03-13,0.297,0,0
R000135_04,C000135,P007,2026-03-22,0.443,0,0
R000135_05,C000135,P004,2026-05-21,0.393,0,0
R000136_01,C000136,P002,2026-08-12,0.539,0,0
R000136_02,C000136,P007,2026-07-18,0.358,0,0
R000136_03,C000136,P003,2026-03-04,0.344,1,0
R000137_01,C000137,P008,2026-02-19,0.418,0,0
R000137_02,C000137,P006,2026-02-17,0.322,0,0
R000137_03,C000137,P006,2026-02-18,0.298,0,0
R000138_01,C000138,P007,2026-07-24,0.413,0,0
R000138_02,C000138,P004,2026-07-27,0.514,1,0
R000138_03,C000138,P003,2026-05-25,0.454,1,0
R000139_01,C000139,P007,2026-06-29,0.528,0,0
R000139_02,C000139,P005,2026-03-30,0.677,0,0
R000139_03,C000139,P008,2026-04-25,0.54,0,0
R000139_04,C000139,P007,2026-05-14,0.449,0,0
R000139_05,C000139,P006,2026-03-25,0.563,0,0
R000140_01,C000140,P005,2026-02-15,0.436,0,0
R000140_02,C000140,P008,2026-04-11,0.501,1,0
R000140_03,C000140,P004,2026-03-06,0.62,0,0
R000140_04,C000140,P002,2026-03-06,0.382,0,0
R000140_05,C000140,P008,2026-04-03,0.436,0,0
R000141_01,C000141,P001,2026-06-15,0.514,0,0
R000141_02,C000141,P004,2026-04-02,0.483,0,0
R000141_03,C000141,P004,2026-07-07,0.428,0,0
R000141_04,C000141,P001,2026-04-08,0.35,1,0
R000141_05,C000141,P007,2026-03-18,0.342,1,0
