transaction_id,customer_id,transaction_date,transaction_type,amount,channel,merchant_category
T000001_034,C000001,2026-08-19,Debit,163.98,Internet Banking,Transfer
T000001_035,C000001,2026-08-01,Debit,93.19,Internet Banking,Travel
T000001_036,C000001,2026-08-24,Debit,68.25,Mobile App,Bills
T000001_037,C000001,2026-08-24,Debit,100.32,Mobile App,Transfer
T000001_038,C000001,2026-07-29,Debit,122.14,Mobile App,Bills
T000001_039,C000001,2026-08-06,Debit,104.83,POS,Travel
T000001_040,C000001,2026-08-24,Debit,217.31,Internet Banking,Other
T000001_041,C000001,2026-08-18,Debit,78.81,ATM,Bills
T000001_042,C000001,2026-08-19,Debit,63.61,Mobile App,Transfer
T000001_043,C000001,2026-08-20,Credit,95.35,POS,Cash
T000001_044,C000001,2026-07-03,Debit,263.73,Mobile App,Cash
T000001_045,C000001,2026-06-28,Debit,138.9,Mobile App,Travel
T000001_046,C000001,2026-08-15,Debit,125.11,Mobile App,Investment
T000001_047,C000001,2026-08-01,Debit,129.15,Internet Banking,Shopping
T000001_048,C000001,2026-07-22,Debit,104.34,Mobile App,Travel
T000001_049,C000001,2026-08-13,Debit,113.66,Branch,Bills
T000001_050,C000001,2026-08-26,Debit,91.56,Mobile App,Cash
T000002_001,C000002,2026-08-26,Debit,40.0,Internet Banking,Cash
T000002_002,C000002,2026-07-30,Debit,40.0,POS,Cash
T000002_003,C000002,2026-08-22,Debit,78.08,POS,Transfer
T000002_004,C000002,2026-08-25,Debit,41.35,Mobile App,Travel
T000002_005,C000002,2026-07-30,Debit,43.64,Internet Banking,Travel
T000002_006,C000002,2026-08-11,Credit,40.0,ATM,Food
T000002_007,C000002,2026-08-11,Debit,92.93,Mobile App,Travel
T000002_008,C000002,2026-08-27,Debit,40.0,Internet Banking,Other
T000002_009,C000002,2026-08-17,Debit,40.0,Branch,Food
T000002_010,C000002,2026-08-25,Credit,40.0,Internet Banking,Investment
T000002_011,C000002,2026-08-09,Debit,50.52,POS,Investment
T000002_012,C000002,2026-08-07,Credit,58.3,Internet Banking,Shopping
T000002_013,C000002,2026-08-16,Credit,40.0,ATM,Investment
T000002_014,C000002,2026-08-22,Debit,42.83,Mobile App,Investment
T000002_015,C000002,2026-08-05,Credit,40.0,Mobile App,Travel
T000002_016,C000002,2026-07-13,Debit,56.9,Mobile App,Shopping
T000002_017,C000002,2026-08-10,Debit,65.96,Mobile App,Cash
T000002_018,C000002,2026-08-03,Debit,62.8,Mobile App,Other
T000002_019,C000002,2026-08-06,Debit,40.0,Branch,Food
T000002_020,C000002,2026-08-15,Debit,40.0,Mobile App,Food
T000002_021,C000002,2026-06-07,Debit,40.0,Mobile App,Transfer
T000002_022,C000002,2026-08-02,Credit,48.59,Internet Banking,Food
T000002_023,C000002,2026-06-12,Debit,40.0,ATM,Cash
T000002_024,C000002,2026-08-21,Debit,43.81,Branch,Shopping
T000002_025,C000002,2026-06-28,Debit,40.0,Mobile App,Investment
T000002_026,C000002,2026-08-05,Debit,56.15,Mobile App,Travel
T000002_027,C000002,2026-08-03,Debit,47.25,POS,Shopping
T000002_028,C000002,2026-08-21,Credit,40.0,ATM,Investment
T000002_029,C000002,2026-03-20,Credit,42.47,Branch,Investment
T000002_030,C000002,2026-07-12,Debit,44.8,Internet Banking,Investment
T000002_031,C000002,2026-08-04,Debit,52.51,POS,Travel
T000002_032,C000002,2026-08-25,Credit,59.92,Internet Banking,Cash
T000002_033,C000002,2026-07-29,Debit,40.0,Mobile App,Cash
T000002_034,C000002,2026-08-08,Debit,40.0,Branch,Other
T000002_035,C000002,2026-08-10,Debit,40.0,ATM,Food
T000002_036,C000002,2026-08-01,Credit,40.0,POS,Cash
T000002_037,C000002,2026-08-08,Credit,40.0,Internet Banking,Cash
T000002_038,C000002,2026-07-15,Debit,40.0,Internet Banking,Food
T000002_039,C000002,2026-07-28,Debit,75.86,Mobile App,Cash
T000002_040,C000002,2026-07-12,Debit,40.0,Internet Banking,Transfer
T000002_041,C000002,2026-07-29,Credit,40.0,Mobile App,Bills
T000003_001,C000003,2026-07-30,Debit,92.85,POS,Cash
T000003_002,C000003,2026-04-10,Debit,40.88,Branch,Other
T000003_003,C000003,2026-08-01,Debit,41.56,Mobile App,Travel
T000003_004,C000003,2026-08-15,Debit,139.69,Mobile App,Other
T000003_005,C000003,2026-05-28,Debit,105.09,Branch,Bills
T000003_006,C000003,2026-08-25,Debit,54.68,POS,Transfer
T000003_007,C000003,2026-08-24,Debit,55.49,Mobile App,Shopping
T000003_008,C000003,2026-07-22,Debit,58.01,ATM,Investment
T000003_009,C000003,2026-08-20,Credit,73.73,Mobile App,Other
T000003_010,C000003,2026-07-21,Debit,92.05,Mobile App,Travel
T000003_011,C000003,2026-08-09,Debit,81.58,Mobile App,Cash
T000003_012,C000003,2026-07-14,Credit,95.37,Mobile App,Investment
T000003_013,C000003,2026-05-20,Debit,61.77,Internet Banking,Other
T000003_014,C000003,2026-07-28,Debit,57.16,Branch,Food
T000003_015,C000003,2026-08-15,Debit,51.23,Internet Banking,Shopping
T000003_016,C000003,2026-08-03,Debit,81.29,ATM,Bills
T000003_017,C000003,2026-08-09,Debit,153.14,Internet Banking,Investment
T000003_018,C000003,2026-07-29,Debit,55.06,Mobile App,Cash
T000003_019,C000003,2026-07-25,Debit,93.11,POS,Cash
T000003_020,C000003,2026-08-10,Credit,128.11,Mobile App,Investment
T000003_021,C000003,2026-08-19,Credit,250.82,Mobile App,Cash
T000003_022,C000003,2026-08-10,Debit,183.2,ATM,Other
T000003_023,C000003,2026-07-11,Debit,194.46,Mobile App,Bills
T000003_024,C000003,2026-08-02,Credit,102.21,ATM,Bills
T000003_025,C000003,2026-07-13,Debit,40.0,Branch,Cash
T000003_026,C000003,2026-07-29,Debit,40.0,POS,Bills
T000003_027,C000003,2026-08-22,Debit,145.09,Mobile App,Investment
T000003_028,C000003,2026-08-20,Debit,111.92,ATM,Shopping
T000003_029,C000003,2026-08-19,Debit,73.11,Internet Banking,Food
T000003_030,C000003,2026-08-04,Debit,83.48,Branch,Food
T000003_031,C000003,2026-08-04,Credit,118.45,Mobile App,Shopping
T000003_032,C000003,2026-07-08,Credit,210.82,POS,Cash
T000003_033,C000003,2026-08-07,Debit,66.67,ATM,Bills
T000003_034,C000003,2026-08-09,Debit,96.37,ATM,Cash
T000003_035,C000003,2026-08-23,Credit,40.0,Internet Banking,Other
T000003_036,C000003,2026-08-18,Debit,50.37,ATM,Cash
T000003_037,C000003,2026-08-23,Debit,53.47,Mobile App,Bills
T000003_038,C000003,2026-08-22,Debit,71.9,POS,Travel
T000004_001,C000004,2026-07-20,Debit,107.81,POS,Other
T000004_002,C000004,2026-08-13,Debit,168.33,Mobile App,Shopping
T000004_003,C000004,2026-08-05,Debit,173.22,Internet Banking,Cash
T000004_004,C000004,2026-07-01,Debit,186.54,Mobile App,Food
T000004_005,C000004,2026-07-29,Debit,137.3,Branch,Travel
T000004_006,C000004,2026-08-23,Debit,126.86,Mobile App,Travel
T000004_007,C000004,2026-08-14,Debit,110.92,Mobile App,Bills
T000004_008,C000004,2026-08-07,Debit,125.99,Internet Banking,Food
T000004_009,C000004,2026-08-24,Debit,364.59,Internet Banking,Transfer
T000004_010,C000004,2026-07-30,Debit,138.61,Branch,Travel
T000004_011,C000004,2026-08-25,Debit,167.79,ATM,Cash
T000004_012,C000004,2026-06-08,Credit,143.23,Internet Banking,Bills
T000004_013,C000004,2026-07-14,Credit,109.63,Mobile App,Travel
T000004_014,C000004,2026-07-21,Debit,105.79,Mobile App,Transfer
T000004_015,C000004,2026-08-18,Debit,179.38,Mobile App,Transfer
T000004_016,C000004,2026-08-25,Debit,195.65,Internet Banking,Shopping
T000004_017,C000004,2026-08-23,Credit,102.02,Mobile App,Other
T000004_018,C000004,2026-07-28,Credit,497.19,Mobile App,Travel
T000004_019,C000004,2026-08-26,Credit,337.52,ATM,Transfer
T000004_020,C000004,2026-06-17,Debit,116.15,Mobile App,Investment
T000004_021,C000004,2026-08-06,Debit,85.33,Mobile App,Food
T000004_022,C000004,2026-08-21,Debit,290.11,Mobile App,Cash
T000004_023,C000004,2026-04-09,Debit,103.29,ATM,Bills
T000004_024,C000004,2026-08-03,Debit,70.0,Mobile App,Transfer
T000004_025,C000004,2026-08-20,Credit,95.55,Mobile App,Other
T000004_026,C000004,2026-08-23,Debit,180.3,Mobile App,Transfer
T000004_027,C000004,2026-07-24,Debit,151.71,Mobile App,Investment
T000004_028,C000004,2026-05-05,Credit,157.88,ATM,Cash
T000004_029,C000004,2026-08-15,Debit,155.22,Mobile App,Other
T000004_030,C000004,2026-08-18,Debit,126.14,POS,Other
T000004_031,C000004,2026-08-01,Credit,153.81,Mobile App,Shopping
T000004_032,C000004,2026-06-15,Credit,105.79,Internet Banking,Transfer
T000004_033,C000004,2026-07-12,Debit,396.91,Mobile App,Transfer
T000004_034,C000004,2026-08-05,Debit,143.1,Mobile App,Food
T000004_035,C000004,2026-08-06,Debit,143.97,POS,Food
T000004_036,C000004,2026-08-09,Debit,168.92,Mobile App,Travel
T000004_037,C000004,2026-07-30,Debit,187.89,Mobile App,Other
T000004_038,C000004,2026-08-23,Credit,301.26,Internet Banking,Shopping
T000004_039,C000004,2026-07-13,Debit,101.16,Mobile App,Travel
T000004_040,C000004,2026-06-21,Debit,106.12,Internet Banking,Travel
T000004_041,C000004,2026-08-13,Debit,75.04,Branch,Bills
T000004_042,C000004,2026-06-21,Debit,149.57,ATM,Bills
T000004_043,C000004,2026-08-05,Debit,104.64,Branch,Travel
T000004_044,C000004,2026-07-19,Debit,112.39,Mobile App,Food
T000004_045,C000004,2026-08-06,Debit,409.28,Mobile App,Food
T000004_046,C000004,2026-08-22,Credit,231.61,Mobile App,Travel
T000004_047,C000004,2026-08-05,Debit,85.92,Internet Banking,Investment
T000004_048,C000004,2026-06-17,Credit,270.19,Branch,Other
T000005_001,C000005,2026-08-08,Credit,72.76,POS,Bills
T000005_002,C000005,2026-07-31,Credit,102.28,Mobile App,Other
T000005_003,C000005,2026-08-03,Credit,40.0,ATM,Investment
T000005_004,C000005,2026-07-24,Debit,55.07,POS,Investment
T000005_005,C000005,2026-06-11,Credit,40.0,Mobile App,Transfer
T000005_006,C000005,2026-08-05,Debit,40.0,Mobile App,Transfer
T000005_007,C000005,2026-07-22,Debit,92.82,Mobile App,Cash
T000005_008,C000005,2026-07-11,Credit,82.3,Mobile App,Travel
T000005_009,C000005,2026-07-02,Credit,40.0,Mobile App,Travel
T000005_010,C000005,2026-06-07,Credit,41.3,Branch,Food
T000005_011,C000005,2026-06-27,Debit,78.7,Mobile App,Shopping
T000005_012,C000005,2026-07-20,Credit,99.61,Internet Banking,Investment
T000005_013,C000005,2026-06-08,Debit,67.74,Mobile App,Transfer
T000005_014,C000005,2026-07-22,Debit,83.76,ATM,Shopping
T000005_015,C000005,2026-08-03,Debit,52.1,POS,Other
T000005_016,C000005,2026-07-24,Credit,57.82,Branch,Food
T000005_017,C000005,2026-08-04,Debit,40.0,Internet Banking,Transfer
T000005_018,C000005,2026-07-20,Credit,40.0,Mobile App,Shopping
T000005_019,C000005,2026-07-17,Credit,40.0,ATM,Investment
T000005_020,C000005,2026-07-28,Debit,40.0,POS,Cash
T000005_021,C000005,2026-07-27,Debit,99.56,POS,Travel
T000005_022,C000005,2026-05-29,Debit,73.48,Mobile App,Investment
T000005_023,C000005,2026-07-28,Debit,141.83,Internet Banking,Cash
T000005_024,C000005,2026-07-26,Credit,41.63,POS,Investment
T000005_025,C000005,2026-05-26,Debit,102.74,POS,Food
T000005_026,C000005,2026-07-18,Credit,71.4,Mobile App,Other
T000005_027,C000005,2026-06-29,Credit,74.63,Mobile App,Travel
T000005_028,C000005,2026-07-04,Debit,40.0,Mobile App,Travel
T000005_029,C000005,2026-07-12,Debit,40.0,Mobile App,Bills
T000005_030,C000005,2026-08-03,Debit,85.7,Mobile App,Shopping
T000005_031,C000005,2026-07-08,Credit,82.08,Internet Banking,Transfer
T000005_032,C000005,2026-06-11,Debit,40.0,POS,Cash
T000005_033,C000005,2026-06-02,Credit,40.0,POS,Shopping
T000005_034,C000005,2026-07-25,Debit,45.59,Branch,Shopping
T000005_035,C000005,2026-07-28,Debit,55.75,Mobile App,Bills
T000005_036,C000005,2026-07-13,Debit,44.12,POS,Transfer
T000005_037,C000005,2026-03-25,Credit,86.47,Internet Banking,Travel
T000005_038,C000005,2026-06-16,Debit,67.93,Internet Banking,Bills
T000005_039,C000005,2026-07-31,Debit,81.97,Mobile App,Transfer
T000005_040,C000005,2026-07-12,Credit,41.22,Internet Banking,Cash
T000005_041,C000005,2026-07-16,Debit,40.0,POS,Investment
T000005_042,C000005,2026-07-03,Debit,56.73,Mobile App,Cash
T000005_043,C000005,2026-08-07,Credit,40.0,Mobile App,Shopping
T000005_044,C000005,2026-08-05,Debit,72.86,Branch,Investment
T000005_045,C000005,2026-06-07,Debit,40.0,Internet Banking,Travel
T000005_046,C000005,2026-07-27,Debit,72.76,Branch,Investment
T000005_047,C000005,2026-06-14,Debit,46.84,ATM,Cash
T000005_048,C000005,2026-06-24,Credit,121.21,Mobile App,Travel
T000005_049,C000005,2026-08-06,Debit,78.64,Mobile App,Bills
T000005_050,C000005,2026-08-02,Debit,44.88,Internet Banking,Shopping
T000005_051,C000005,2026-07-24,Debit,40.79,Mobile App,Transfer
T000005_052,C000005,2026-07-16,Credit,48.79,Branch,Shopping
T000005_053,C000005,2026-07-10,Credit,101.27,Internet Banking,Bills
T000005_054,C000005,2026-05-31,Debit,40.0,Branch,Food
T000005_055,C000005,2026-04-08,Debit,40.0,Branch,Travel
T000005_056,C000005,2026-07-22,Debit,40.0,Mobile App,Investment
T000005_057,C000005,2026-06-29,Debit,40.0,Mobile App,Cash
T000006_001,C000006,2026-06-13,Debit,96.79,Internet Banking,Bills
T000006_002,C000006,2026-06-12,Debit,107.57,Branch,Cash
T000006_003,C000006,2026-07-03,Debit,72.08,Mobile App,Bills
T000006_004,C000006,2026-07-30,Debit,91.92,Mobile App,Bills
T000006_005,C000006,2026-06-06,Credit,89.7,Branch,Travel
T000006_006,C000006,2026-08-13,Debit,141.13,Internet Banking,Food
T000006_007,C000006,2026-08-01,Debit,72.01,POS,Cash
T000006_008,C000006,2026-06-02,Debit,57.48,ATM,Investment
T000006_009,C000006,2026-05-31,Debit,40.0,Mobile App,Shopping
T000006_010,C000006,2026-08-11,Debit,44.72,ATM,Other
T000006_011,C000006,2026-08-13,Debit,64.52,Internet Banking,Other
T000006_012,C000006,2026-08-05,Debit,76.35,Internet Banking,Travel
T000006_013,C000006,2026-07-20,Debit,54.15,Internet Banking,Food
T000006_014,C000006,2026-07-03,Debit,111.37,Internet Banking,Transfer
T000006_015,C000006,2026-08-13,Debit,134.6,Internet Banking,Cash
T000006_016,C000006,2026-07-10,Debit,105.13,Internet Banking,Bills
T000006_017,C000006,2026-05-07,Debit,77.47,Branch,Other
T000006_018,C000006,2026-07-05,Debit,58.43,Internet Banking,Cash
T000006_019,C000006,2026-08-05,Debit,64.96,Internet Banking,Bills
T000006_020,C000006,2026-07-26,Debit,40.0,Mobile App,Investment
T000006_021,C000006,2026-08-12,Debit,169.02,Mobile App,Bills
T000006_022,C000006,2026-07-24,Debit,43.16,Internet Banking,Other
T000006_023,C000006,2026-07-31,Debit,60.93,Mobile App,Travel
T000006_024,C000006,2026-08-02,Debit,80.7,Internet Banking,Transfer
T000006_025,C000006,2026-07-14,Debit,81.84,Mobile App,Cash
T000006_026,C000006,2026-08-10,Debit,63.34,Mobile App,Other
T000006_027,C000006,2026-08-05,Debit,46.88,ATM,Food
T000006_028,C000006,2026-08-05,Debit,75.91,Mobile App,Transfer
T000006_029,C000006,2026-07-28,Debit,62.18,Mobile App,Food
T000006_030,C000006,2026-07-24,Debit,58.07,Mobile App,Cash
T000006_031,C000006,2026-07-23,Debit,40.0,Mobile App,Shopping
T000006_032,C000006,2026-08-07,Debit,80.78,Mobile App,Food
T000006_033,C000006,2026-07-25,Debit,48.66,Branch,Other
T000006_034,C000006,2026-05-30,Debit,92.33,Mobile App,Investment
T000006_035,C000006,2026-07-14,Credit,66.62,Branch,Shopping
T000006_036,C000006,2026-07-30,Debit,40.0,Mobile App,Investment
T000006_037,C000006,2026-07-31,Debit,40.0,Mobile App,Shopping
T000006_038,C000006,2026-05-14,Debit,58.95,Mobile App,Shopping
T000006_039,C000006,2026-08-10,Debit,40.0,Internet Banking,Food
T000006_040,C000006,2026-07-28,Debit,132.07,Mobile App,Travel
T000007_001,C000007,2026-05-31,Debit,144.53,Mobile App,Other
T000007_002,C000007,2026-07-17,Debit,123.51,POS,Other
T000007_003,C000007,2026-07-16,Debit,336.48,ATM,Shopping
T000007_004,C000007,2026-07-02,Debit,148.39,Internet Banking,Transfer
T000007_005,C000007,2026-07-14,Debit,252.89,Branch,Food
T000007_006,C000007,2026-04-03,Debit,550.73,Mobile App,Cash
T000007_007,C000007,2026-06-16,Debit,492.35,Mobile App,Other
T000007_008,C000007,2026-06-19,Debit,388.13,Mobile App,Food
T000007_009,C000007,2026-07-12,Debit,181.29,Mobile App,Other
T000007_010,C000007,2026-04-25,Debit,128.6,Branch,Bills
T000007_011,C000007,2026-07-14,Debit,123.17,Internet Banking,Bills
T000007_012,C000007,2026-06-26,Debit,196.0,Internet Banking,Investment
T000007_013,C000007,2026-06-20,Credit,114.56,Internet Banking,Transfer
T000007_014,C000007,2026-06-10,Debit,211.19,Mobile App,Bills
T000007_015,C000007,2026-07-25,Debit,109.56,ATM,Cash
T000007_016,C000007,2026-03-01,Debit,151.76,Branch,Transfer
T000007_017,C000007,2026-07-08,Debit,220.13,Mobile App,Transfer
T000007_018,C000007,2026-06-28,Debit,175.4,Branch,Shopping
T000007_019,C000007,2026-05-09,Debit,154.86,Mobile App,Other
T000008_001,C000008,2026-03-01,Credit,79.17,POS,Transfer
T000008_002,C000008,2026-02-23,Debit,182.25,Branch,Bills
T000008_003,C000008,2026-02-19,Debit,53.91,POS,Shopping
T000008_004,C000008,2026-01-13,Credit,71.71,POS,Travel
T000008_005,C000008,2026-02-18,Debit,146.95,Internet Banking,Cash
T000008_006,C000008,2026-03-01,Debit,94.08,POS,Bills
T000008_007,C000008,2026-03-01,Debit,143.95,Mobile App,Shopping
T000009_001,C000009,2026-05-29,Debit,56.18,Mobile App,Transfer
T000009_002,C000009,2026-07-13,Credit,40.0,Mobile App,Other
T000009_003,C000009,2026-07-25,Credit,85.07,POS,Cash
T000009_004,C000009,2026-08-03,Debit,77.53,Mobile App,Travel
T000009_005,C000009,2026-08-19,Debit,83.44,Internet Banking,Bills
T000009_006,C000009,2026-08-18,Debit,60.84,POS,Bills
T000009_007,C000009,2026-07-06,Debit,53.44,ATM,Bills
T000009_008,C000009,2026-08-03,Debit,70.57,Mobile App,Travel
T000009_009,C000009,2026-07-05,Debit,64.38,ATM,Investment
T000009_010,C000009,2026-06-26,Credit,212.5,Internet Banking,Cash
T000009_011,C000009,2026-04-04,Debit,55.75,Branch,Cash
T000009_012,C000009,2026-06-20,Debit,91.92,ATM,Transfer
T000009_013,C000009,2026-08-21,Debit,48.55,POS,Transfer
T000009_014,C000009,2026-07-09,Debit,46.42,ATM,Bills
T000009_015,C000009,2026-07-06,Debit,70.73,Branch,Investment
T000009_016,C000009,2026-08-01,Credit,40.0,Branch,Cash
T000009_017,C000009,2026-07-12,Debit,56.09,Mobile App,Cash
T000009_018,C000009,2026-08-15,Debit,51.4,ATM,Investment
T000009_019,C000009,2026-07-20,Credit,40.0,Mobile App,Shopping
T000009_020,C000009,2026-05-30,Debit,40.0,POS,Travel
T000009_021,C000009,2026-08-20,Debit,60.76,POS,Shopping
T000009_022,C000009,2026-08-19,Debit,40.0,Internet Banking,Investment
T000009_023,C000009,2026-08-21,Debit,46.92,Mobile App,Investment
T000009_024,C000009,2026-07-11,Credit,41.73,POS,Transfer
T000009_025,C000009,2026-07-24,Debit,83.11,Branch,Investment
T000009_026,C000009,2026-08-18,Debit,40.0,Mobile App,Investment
T000009_027,C000009,2026-07-09,Debit,67.5,ATM,Transfer
T000009_028,C000009,2026-07-13,Debit,40.0,ATM,Cash
T000009_029,C000009,2026-06-16,Debit,40.0,POS,Other
T000009_030,C000009,2026-07-19,Credit,77.77,Branch,Food
T000009_031,C000009,2026-06-23,Debit,45.24,Mobile App,Cash
T000009_032,C000009,2026-06-24,Debit,53.03,Branch,Investment
T000009_033,C000009,2026-08-12,Debit,55.82,Mobile App,Food
T000009_034,C000009,2026-08-16,Debit,49.94,Mobile App,Other
T000009_035,C000009,2026-08-13,Debit,152.7,Mobile App,Bills
T000009_036,C000009,2026-07-09,Debit,77.15,Mobile App,Travel
T000009_037,C000009,2026-08-13,Credit,40.0,Mobile App,Other
T000009_038,C000009,2026-08-17,Debit,50.11,Internet Banking,Other
T000010_001,C000010,2026-05-23,Debit,194.98,Branch,Shopping
T000010_002,C000010,2026-07-31,Credit,61.62,Mobile App,Transfer
T000010_003,C000010,2026-08-09,Debit,134.96,Mobile App,Bills
T000010_004,C000010,2026-07-17,Debit,91.03,POS,Travel
T000010_005,C000010,2026-08-08,Debit,119.89,Branch,Investment
T000010_006,C000010,2026-07-29,Debit,100.59,ATM,Shopping
T000010_007,C000010,2026-07-16,Debit,136.81,Internet Banking,Food
T000010_008,C000010,2026-07-13,Debit,142.62,POS,Shopping
T000010_009,C000010,2026-06-02,Debit,86.4,Branch,Bills
T000010_010,C000010,2026-06-27,Debit,97.36,Internet Banking,Shopping
T000010_011,C000010,2026-01-30,Debit,117.52,Internet Banking,Food
T000010_012,C000010,2026-07-17,Credit,72.83,Mobile App,Transfer
T000010_013,C000010,2026-07-18,Debit,87.74,Branch,Other
T000010_014,C000010,2026-08-09,Debit,68.87,Branch,Shopping
T000010_015,C000010,2026-07-06,Credit,40.0,Mobile App,Food
T000010_016,C000010,2026-08-12,Debit,271.99,Mobile App,Cash
T000011_001,C000011,2026-05-02,Debit,40.0,Mobile App,Shopping
T000011_002,C000011,2026-06-28,Debit,40.0,Mobile App,Bills
T000011_003,C000011,2026-08-09,Debit,45.02,ATM,Travel
T000011_004,C000011,2026-08-11,Debit,40.0,Mobile App,Transfer
T000011_005,C000011,2026-08-09,Credit,40.0,POS,Food
T000011_006,C000011,2026-08-02,Debit,40.0,Mobile App,Travel
T000011_007,C000011,2026-07-02,Debit,40.0,Branch,Cash
T000011_008,C000011,2026-03-06,Credit,40.0,Internet Banking,Cash
T000011_009,C000011,2026-07-17,Debit,40.0,Internet Banking,Food
T000011_010,C000011,2026-07-04,Debit,40.0,Mobile App,Transfer
T000011_011,C000011,2026-08-12,Debit,52.91,Mobile App,Cash
T000011_012,C000011,2026-08-10,Debit,42.4,Branch,Food
T000011_013,C000011,2026-08-04,Debit,40.0,Internet Banking,Transfer
T000011_014,C000011,2026-07-08,Debit,40.0,ATM,Transfer
T000011_015,C000011,2026-08-06,Credit,68.19,POS,Other
T000011_016,C000011,2026-08-12,Debit,65.3,Mobile App,Shopping
T000011_017,C000011,2026-08-12,Debit,40.0,Branch,Shopping
T000011_018,C000011,2026-08-03,Credit,43.31,ATM,Transfer
T000011_019,C000011,2026-08-07,Debit,41.89,Branch,Other
T000011_020,C000011,2026-08-08,Credit,40.0,Mobile App,Travel
T000011_021,C000011,2026-07-08,Debit,70.29,Mobile App,Other
T000011_022,C000011,2026-06-20,Debit,44.35,Mobile App,Shopping
T000011_023,C000011,2026-08-13,Debit,40.0,Mobile App,Travel
T000011_024,C000011,2026-08-16,Debit,40.0,Mobile App,Transfer
T000011_025,C000011,2026-06-23,Debit,60.9,Branch,Cash
T000011_026,C000011,2026-08-21,Debit,40.0,POS,Shopping
T000011_027,C000011,2026-07-20,Credit,40.0,Internet Banking,Cash
T000011_028,C000011,2026-08-16,Debit,40.0,ATM,Bills
T000011_029,C000011,2026-07-17,Debit,40.0,Mobile App,Travel
T000012_001,C000012,2026-08-23,Credit,207.07,Branch,Travel
T000012_002,C000012,2026-07-31,Debit,256.92,Internet Banking,Food
T000012_003,C000012,2026-07-26,Debit,138.64,Mobile App,Cash
T000012_004,C000012,2026-07-23,Credit,130.85,Internet Banking,Travel
T000012_005,C000012,2026-08-13,Credit,145.18,POS,Shopping
T000012_006,C000012,2026-08-21,Debit,152.39,Internet Banking,Shopping
T000012_007,C000012,2026-08-08,Debit,781.51,Internet Banking,Investment
T000012_008,C000012,2026-08-12,Credit,416.94,Mobile App,Food
T000012_009,C000012,2026-07-21,Debit,110.55,Mobile App,Transfer
T000012_010,C000012,2026-08-17,Debit,120.38,ATM,Investment
T000012_011,C000012,2026-08-04,Debit,180.21,Mobile App,Transfer
T000012_012,C000012,2026-07-23,Debit,273.14,Internet Banking,Bills
T000012_013,C000012,2026-08-01,Debit,386.98,Mobile App,Food
T000012_014,C000012,2026-08-15,Debit,513.07,Internet Banking,Travel
T000012_015,C000012,2026-08-14,Credit,155.54,Branch,Shopping
T000012_016,C000012,2026-08-07,Debit,380.75,Internet Banking,Transfer
T000012_017,C000012,2026-07-04,Debit,116.92,Mobile App,Food
T000012_018,C000012,2026-08-20,Credit,156.33,Branch,Transfer
T000012_019,C000012,2026-08-07,Debit,167.69,ATM,Travel
T000012_020,C000012,2026-07-18,Debit,230.6,Internet Banking,Travel
T000012_021,C000012,2026-05-13,Debit,114.9,Branch,Other
T000012_022,C000012,2026-08-20,Credit,215.25,Internet Banking,Transfer
