customer_id,age,customer_tenure_years,annual_income,average_account_balance,monthly_spending,transaction_count,average_transaction_amount_x,recency_days,debit_ratio,credit_ratio,digital_usage_score,mobile_app_login_frequency,digital_transaction_ratio,products_held,engagement_score,spending_trend,total_transaction_amount,average_transaction_amount_y,median_transaction_amount,transaction_count_actual,active_months,last_transaction_date,first_transaction_date,debit_transactions,credit_transactions,transaction_amount_std,transactions_per_active_month,debit_ratio_actual,credit_ratio_actual,recency_days_actual,frequency,monetary,recency_score,frequency_score,monetary_score,rfm_score,products_held_actual,product_categories_held,product_value_total,product_value_average,loan_products,investment_products,insurance_products,credit_card_products,campaigns_received,campaign_interactions,campaigns_opened,campaigns_clicked,campaigns_converted,campaign_open_rate,campaign_click_rate,campaign_conversion_rate,recommendations_received,average_suitability_score,recommendations_accepted,recommendations_converted,recommendation_acceptance_rate,recommendation_conversion_rate,high_value_transactions,monthly_income,balance_to_income_ratio,spending_to_income_ratio,transaction_value_to_income_ratio,product_penetration,high_value_transaction_ratio,digital_activity_index,relationship_depth_score,customer_value_index
C000011,49,4.8,33360,328453,1000.0,29,100.0,8.3,0.792,0.208,0.802,12.0,0.527,1,0.596,-0.189,1294.56,44.64,40.0,29,5,2026-08-21,2026-03-06,23,6,9.250059845366254,5.8,0.7931034482758621,0.20689655172413793,8,29,1294.56,3,2,1,6,1,1,26976.43,26976.43,0,0,0,0,6,6,4,2,1,0.6666666666666666,0.5,0.5,2,0.395,1,0,0.5,0.0,0,2780.0,9.845713429256595,0.3597122302158273,0.03880575539568345,0.125,0.0,0.61265,0.4163,0.17916666666666664
C000012,68,5.3,255850,432737,14227.09,50,311.0,6.3,0.759,0.241,0.569,14.0,0.506,5,0.712,-0.049,12100.32,242.00639999999999,209.22,50,5,2026-08-23,2026-04-29,37,13,139.52063421031664,10.0,0.74,0.26,6,50,12100.32,4,4,5,13,5,4,341113.20999999996,68222.64199999999,0,1,0,1,5,5,1,0,0,0.2,0.0,0.0,5,0.43520000000000003,1,1,0.2,1.0,0,21320.833333333332,1.6913699433261677,0.6672858315419191,0.04729458667187805,0.625,0.0,0.52255,0.6511,0.8510833333333333
C000013,40,6.8,95948,499625,2401.29,43,100.0,6.4,0.751,0.249,0.776,13.0,0.644,3,0.657,0.065,2828.61,65.78162790697675,57.59,43,4,2026-08-22,2026-05-14,36,7,25.555148761828853,10.75,0.8372093023255814,0.16279069767441862,7,43,2828.61,4,4,3,11,3,3,125017.23,41672.409999999996,1,1,0,0,6,6,5,0,0,0.8333333333333334,0.0,0.0,2,0.51,1,1,0.5,1.0,0,7995.666666666667,5.207247675824405,0.30032392545962394,0.029480656188768918,0.375,0.0,0.6402,0.49710000000000004,0.5860833333333334
C000014,29,4.2,132824,453514,5065.06,61,100.0,20.2,0.717,0.283,0.879,14.0,0.675,6,0.753,-0.029,4123.36,67.59606557377049,56.81,61,4,2026-08-09,2026-05-12,43,18,31.113117291515945,15.25,0.7049180327868853,0.29508196721311475,20,61,4123.36,2,5,4,11,6,5,264535.58,44089.263333333336,0,1,1,1,3,3,3,2,0,1.0,0.6666666666666666,0.0,4,0.60025,3,1,0.75,0.3333333333333333,0,11068.666666666666,3.4143980003613805,0.4576034451605132,0.031043787267361317,0.75,0.0,0.7043,0.6759000000000001,0.7334166666666666
C000015,42,8.0,45253,150135,1462.64,30,100.0,12.8,0.651,0.349,0.876,15.0,0.871,1,0.622,-0.048,1440.21,48.007,40.0,30,4,2026-08-16,2026-05-12,15,15,16.792223600472806,7.5,0.5,0.5,13,30,1440.21,2,2,1,5,1,1,22338.37,22338.37,0,0,0,0,7,7,3,3,0,0.42857142857142855,1.0,0.0,2,0.5854999999999999,0,0,0.0,0.0,0,3771.0833333333335,3.317680595761607,0.38785671668176697,0.031825735310366164,0.125,0.0,0.76195,0.3866,0.12041666666666666
C000016,54,2.0,66693,167247,1916.31,41,100.0,3.8,0.815,0.185,0.608,18.0,0.602,2,0.521,0.114,2480.55,60.50121951219513,52.73,41,3,2026-08-25,2026-06-01,35,6,27.569793451812615,13.666666666666666,0.8536585365853658,0.14634146341463414,4,41,2480.55,5,3,2,10,2,2,13757.45,6878.725,0,0,0,1,5,5,1,0,0,0.2,0.0,0.0,3,0.4703333333333333,3,1,1.0,0.3333333333333333,0,5557.75,2.5077144527911477,0.34479960415635824,0.03719355854437498,0.25,0.0,0.6041000000000001,0.3688,0.26258333333333334
C000017,51,12.0,57612,213731,1307.3,8,275.31,171.3,0.531,0.469,0.011,0.0,0.095,1,0.241,-0.374,1281.3700000000001,160.17125000000001,92.08500000000001,8,4,2026-03-08,2025-10-02,3,5,154.45884282483058,2.0,0.375,0.625,174,8,1281.3700000000001,1,1,1,3,1,1,62593.71,62593.71,0,0,0,0,4,4,0,0,0,0.0,0.0,0.0,2,0.22549999999999998,1,0,0.5,0.0,0,4801.0,3.7098347566479206,0.27229743803374296,0.02224137332500174,0.125,0.0,0.0287,0.2723,0.21716666666666667
C000018,58,9.1,126100,770007,6929.81,38,209.64,11.9,0.595,0.405,0.229,0.0,0.142,2,0.625,-0.155,8112.06,213.47526315789474,198.535,38,4,2026-08-17,2026-04-28,25,13,91.5632298362011,9.5,0.6578947368421053,0.34210526315789475,12,38,8112.06,3,3,5,11,2,2,272937.32,136468.66,0,0,0,1,4,4,1,1,0,0.25,1.0,0.0,5,0.516,1,0,0.2,0.0,0,10508.333333333334,6.106320380650278,0.6594585249801744,0.06433037272006345,0.25,0.0,0.13855,0.4375,0.81325
C000019,37,5.0,98437,287488,2643.41,19,175.45,57.2,0.453,0.547,0.584,14.0,0.604,1,0.468,-0.175,2756.66,145.08736842105262,139.15,19,5,2026-07-03,2026-03-10,10,9,62.04890677182754,3.8,0.5263157894736842,0.47368421052631576,57,19,2756.66,1,1,3,5,1,1,82161.36,82161.36,0,0,0,0,4,4,2,2,0,0.5,1.0,0.0,3,0.421,0,0,0.0,0.0,0,8203.083333333334,2.920527850300192,0.3222459034712557,0.028004307323465767,0.125,0.0,0.5538,0.3779,0.5054166666666666
C000020,48,7.8,61315,284984,2207.99,41,100.0,14.4,0.775,0.225,0.771,17.0,0.579,4,0.642,0.025,2372.72,57.87121951219512,47.67,41,5,2026-08-15,2026-03-31,32,9,24.642862881077956,8.2,0.7804878048780488,0.21951219512195122,14,41,2372.72,2,3,2,7,4,4,229998.24999999997,57499.56249999999,1,0,1,1,4,4,3,3,1,0.75,1.0,0.3333333333333333,5,0.35860000000000003,2,2,0.4,1.0,0,5109.583333333333,4.647867569110332,0.43212721193835113,0.03869721927750142,0.5,0.0,0.6617,0.5801000000000001,0.32058333333333333
C000021,41,15.9,63249,357628,3019.08,46,100.0,4.0,0.775,0.225,0.408,7.0,0.388,2,0.543,-0.19,3258.79,70.84326086956521,59.205,46,5,2026-08-24,2026-03-25,42,4,34.80955348140621,9.2,0.9130434782608695,0.08695652173913043,5,46,3258.79,4,4,3,11,2,2,102143.98999999999,51071.994999999995,0,0,0,1,6,6,3,0,0,0.5,0.0,0.0,2,0.323,1,0,0.5,0.0,0,5270.75,5.654287024300779,0.5727989375326092,0.051523186137330236,0.25,0.0,0.35059999999999997,0.4504,0.4176666666666667
C000022,60,3.3,40295,43404,1000.0,13,100.0,52.9,0.627,0.373,0.467,11.0,0.617,1,0.239,0.029,1056.19,81.24538461538462,73.03,13,7,2026-07-08,2025-12-20,8,5,28.932182085981868,1.8571428571428572,0.6153846153846154,0.38461538461538464,52,13,1056.19,1,1,1,3,1,1,12951.0,12951.0,0,0,0,0,6,6,2,0,0,0.3333333333333333,0.0,0.0,3,0.29233333333333333,0,0,0.0,0.0,0,3357.9166666666665,1.0771559746866857,0.2978036977292468,0.026211440625387765,0.125,0.0,0.4744,0.3842,0.025750000000000002
C000023,51,7.1,96216,470785,4264.49,45,107.06,3.0,0.732,0.268,0.59,14.0,0.4,2,0.709,0.104,3947.65,87.72555555555556,72.33,45,5,2026-08-26,2026-04-09,30,15,46.11497210803941,9.0,0.6666666666666666,0.3333333333333333,3,45,3947.65,5,4,4,13,2,2,54378.37,27189.185,0,1,0,1,5,5,2,2,0,0.4,1.0,0.0,5,0.5946,3,1,0.6,0.3333333333333333,0,8018.0,4.8930011640475595,0.5318645547518084,0.04102903882930074,0.25,0.0,0.5055000000000001,0.5002,0.6554166666666666
C000024,45,5.0,308975,777550,17535.09,63,360.92,17.6,0.527,0.473,0.767,8.0,0.619,5,0.748,0.136,18294.72,290.39238095238096,257.93,63,4,2026-08-12,2026-05-09,31,32,141.98691773806405,15.75,0.49206349206349204,0.5079365079365079,17,63,18294.72,2,5,5,12,5,4,721985.74,144397.148,0,1,1,1,5,5,3,1,0,0.6,0.3333333333333333,0.0,5,0.601,3,0,0.6,0.0,0,25747.916666666668,2.5165466461687838,0.6810294684035925,0.05921100412654746,0.625,0.0,0.5799,0.6244000000000001,0.9375833333333333
C000025,42,1.5,68284,558854,4263.61,52,100.0,6.1,0.658,0.342,0.617,9.0,0.347,1,0.532,-0.005,4842.59,93.12673076923078,81.41499999999999,52,4,2026-08-23,2026-05-18,36,16,42.81199688566113,13.0,0.6923076923076923,0.3076923076923077,6,52,4842.59,4,4,4,12,1,1,143937.34,143937.34,0,0,0,0,6,6,0,0,0,0.0,0.0,0.0,4,0.41375,1,0,0.25,0.0,0,5690.333333333333,8.184259855895965,0.7492724503544022,0.07091837033565697,0.125,0.0,0.4544,0.35960000000000003,0.5729166666666666
C000026,46,4.8,272967,1842434,15579.77,53,255.0,6.5,0.519,0.481,0.935,17.0,0.582,4,0.616,-0.019,15655.38,295.3845283018868,274.37,53,4,2026-08-22,2026-05-19,24,29,147.3223542827355,13.25,0.4528301886792453,0.5471698113207547,7,53,15655.38,4,5,5,14,4,4,1310295.69,327573.9225,0,1,1,1,7,7,7,5,3,1.0,0.7142857142857143,0.6,2,0.583,1,0,0.5,0.0,0,22747.25,6.749658383614136,0.6849078460033631,0.05735264702326655,0.5,0.0,0.7362500000000001,0.5347999999999999,0.979
C000027,24,4.4,93685,184061,4179.14,15,326.64,66.1,0.435,0.565,0.355,14.0,0.432,1,0.24,-0.282,3248.6,216.57333333333332,167.94,15,5,2026-06-20,2025-08-31,9,6,91.41393865791134,3.0,0.6,0.4,70,15,3248.6,1,1,3,5,1,1,28122.88,28122.88,0,0,0,0,4,4,0,0,0,0.0,0.0,0.0,3,0.4163333333333334,1,1,0.3333333333333333,1.0,0,7807.083333333333,1.964679511127715,0.5353010620697017,0.034675775204141536,0.125,0.0,0.40774999999999995,0.3095,0.50275
C000028,35,7.2,202585,1332176,10943.6,45,260.44,7.7,0.606,0.394,0.85,18.0,0.98,3,0.708,0.255,13114.26,291.428,244.54,45,5,2026-08-22,2026-04-07,25,20,150.61910615553032,9.0,0.5555555555555556,0.4444444444444444,7,45,13114.26,4,4,5,13,3,3,486678.98,162226.32666666666,0,0,1,1,7,7,3,2,1,0.42857142857142855,0.6666666666666666,0.5,4,0.70675,2,1,0.5,0.5,0,16882.083333333332,6.575886664856727,0.6482375299257103,0.0647346052274354,0.375,0.0,0.8074999999999999,0.5499,0.9320833333333333
C000029,48,10.9,112506,485476,3445.04,29,123.79,22.1,0.671,0.329,0.359,9.0,0.397,2,0.647,-0.1,3056.76,105.40551724137931,88.14,29,4,2026-08-06,2026-03-21,22,7,70.91332010611903,7.25,0.7586206896551724,0.2413793103448276,23,29,3056.76,2,2,3,7,2,2,132765.51,66382.755,0,0,0,1,6,6,3,0,0,0.5,0.0,0.0,4,0.50625,2,0,0.5,0.0,0,9375.5,4.315112082911134,0.36745133592875046,0.02716975094661618,0.25,0.0,0.3508,0.4441,0.6749999999999999
C000030,36,15.5,68116,249769,2288.26,4,614.67,89.2,0.892,0.108,0.209,3.0,0.025,3,0.19,-0.182,2379.65,594.9125,574.37,4,3,2026-05-19,2026-03-03,4,0,111.62319722321763,1.3333333333333333,1.0,0.0,102,4,2379.65,1,1,2,4,3,3,180321.95,60107.31666666667,1,0,0,1,5,5,1,0,0,0.2,0.0,0.0,4,0.30825,1,0,0.25,0.0,0,5676.333333333333,3.666818368665218,0.40312290798050393,0.03493525750190851,0.375,0.0,0.1303,0.3195,0.34299999999999997
C000031,51,5.7,74331,399427,2408.89,19,149.58,34.8,0.665,0.335,0.413,6.0,0.611,1,0.281,-0.095,2296.73,120.88052631578948,129.62,19,5,2026-07-25,2026-02-01,11,8,47.33302552407945,3.8,0.5789473684210527,0.42105263157894735,35,19,2296.73,1,1,2,4,1,1,22554.0,22554.0,0,0,0,0,3,3,2,0,0,0.6666666666666666,0.0,0.0,3,0.26866666666666666,0,0,0.0,0.0,0,6194.25,5.373626077948635,0.38889131048956693,0.030898682918297882,0.125,0.0,0.3986,0.3218,0.4728333333333334
C000032,52,9.9,46478,501856,1963.89,22,127.38,10.2,0.711,0.289,0.836,8.0,0.577,1,0.474,-0.007,1537.67,69.8940909090909,59.195,22,4,2026-08-18,2026-01-30,15,7,32.576515446836986,5.5,0.6818181818181818,0.3181818181818182,11,22,1537.67,3,1,1,5,1,1,69513.91,69513.91,0,0,0,0,4,4,2,1,0,0.5,0.5,0.0,3,0.46,0,0,0.0,0.0,0,3873.1666666666665,10.79771074486854,0.5070502173071131,0.033083824605189556,0.125,0.0,0.6004499999999999,0.3422,0.3328333333333333
C000033,37,16.7,41887,79932,1396.97,19,108.58,82.1,0.592,0.408,0.46,14.0,0.435,1,0.254,-0.075,1204.8,63.41052631578947,53.59,19,4,2026-05-31,2026-02-21,7,12,23.309379722355033,4.75,0.3684210526315789,0.631578947368421,90,19,1204.8,1,1,1,3,1,1,12771.35,12771.35,0,0,0,0,3,3,0,0,0,0.0,0.0,0.0,4,0.39425,0,0,0.0,0.0,0,3490.5833333333335,1.908277031059756,0.40021104399933155,0.028763100723374794,0.125,0.0,0.45575,0.2762,0.061166666666666675
C000034,43,2.2,77898,475689,3891.82,50,105.21,11.2,0.641,0.359,0.436,10.0,0.27,4,0.424,-0.031,3606.7200000000003,72.1344,68.585,50,5,2026-08-18,2026-04-30,32,18,29.760304211743367,10.0,0.64,0.36,11,50,3606.7200000000003,3,4,3,10,4,4,259518.67,64879.6675,0,1,0,1,3,3,2,0,0,0.6666666666666666,0.0,0.0,2,0.5155,0,0,0.0,0.0,0,6491.5,6.1065624277901875,0.5995255333898175,0.046300546868982516,0.5,0.0,0.3637,0.5146999999999999,0.5849166666666666
C000035,21,6.9,83077,144661,3032.34,29,107.9,0.7,0.782,0.218,0.645,15.0,0.329,2,0.554,-0.186,3583.35,123.56379310344828,107.74,29,5,2026-08-28,2026-04-07,22,7,58.03021703104298,5.8,0.7586206896551724,0.2413793103448276,1,29,3583.35,5,2,3,10,2,2,18434.61,9217.305,0,0,0,1,6,6,2,0,0,0.3333333333333333,0.0,0.0,3,0.43566666666666665,0,0,0.0,0.0,0,6923.083333333333,1.7412882025109235,0.43800426110716567,0.04313287672881784,0.25,0.0,0.5225,0.4537,0.3985
C000036,58,7.1,56817,250642,1670.93,25,100.0,7.4,0.551,0.449,0.578,9.0,0.331,2,0.624,0.036,1750.72,70.0288,53.56,25,5,2026-08-22,2026-04-26,12,13,37.68601744679318,5.0,0.48,0.52,7,25,1750.72,4,2,1,7,2,2,95396.91,47698.455,0,0,0,1,5,5,1,0,0,0.2,0.0,0.0,4,0.49275,2,0,0.5,0.0,0,4734.75,4.411390956931904,0.3529077564813348,0.030813312916908673,0.25,0.0,0.43284999999999996,0.4747,0.24766666666666667
C000037,34,4.5,131405,108884,5045.4,59,100.0,17.5,0.746,0.254,0.781,9.0,0.608,1,0.677,0.063,6193.13,104.96830508474577,92.78,59,5,2026-08-12,2026-04-04,47,12,57.556492822645566,11.8,0.7966101694915254,0.2033898305084746,17,59,6193.13,2,5,5,12,1,1,8066.64,8066.64,0,0,0,1,6,6,4,2,1,0.6666666666666666,0.5,0.5,5,0.46900000000000003,1,0,0.2,0.0,0,10950.416666666666,0.8286138274799285,0.4607495909592481,0.047130093984247175,0.125,0.0,0.59345,0.4406,0.5376666666666667
C000038,53,4.0,66486,461713,2430.01,44,100.0,15.5,0.801,0.199,0.866,14.0,0.609,1,0.71,0.042,3008.27,68.36977272727273,55.95,44,5,2026-08-12,2026-04-25,35,9,33.497291073301305,8.8,0.7954545454545454,0.20454545454545456,17,44,3008.27,2,4,3,9,1,1,68623.22,68623.22,0,0,0,0,4,4,1,1,1,0.25,1.0,1.0,5,0.5476,1,0,0.2,0.0,0,5540.5,6.944514634659928,0.43859037992960925,0.04524666847155792,0.125,0.0,0.68195,0.4505,0.44966666666666666
C000039,37,3.9,80647,485127,3727.03,29,126.49,7.2,0.804,0.196,0.34,5.0,0.385,2,0.448,0.155,3393.92,117.03172413793104,101.46,29,5,2026-08-20,2026-04-28,22,7,94.21303868167861,5.8,0.7586206896551724,0.2413793103448276,9,29,3393.92,3,2,3,8,2,2,203611.72,101805.86,0,1,0,0,4,4,2,1,0,0.5,0.5,0.0,3,0.47633333333333333,3,1,1.0,0.3333333333333333,0,6720.583333333333,6.015437648021625,0.5545694198172282,0.04208364849281437,0.25,0.0,0.29925,0.42189999999999994,0.5987500000000001
C000040,41,11.5,49918,56434,3349.04,41,100.0,18.2,0.799,0.201,0.77,18.0,0.8,3,0.6,-0.295,2841.93,69.31536585365853,67.43,41,5,2026-08-11,2026-04-03,34,7,25.317932389668098,8.2,0.8292682926829268,0.17073170731707318,18,41,2841.93,2,3,3,8,3,3,36090.54,12030.18,0,0,1,1,6,6,1,1,0,0.16666666666666666,1.0,0.0,4,0.30325,2,0,0.5,0.0,0,4159.833333333333,1.1305340758844504,0.8050899475139229,0.056931968428222283,0.375,0.0,0.7264999999999999,0.5175000000000001,0.19191666666666668
C000041,35,7.2,55005,245757,2158.21,28,100.0,3.5,0.861,0.139,0.348,9.0,0.5,1,0.496,0.034,2452.33,87.58321428571428,77.33,28,3,2026-08-24,2026-06-18,26,2,38.4217066400956,9.333333333333334,0.9285714285714286,0.07142857142857142,5,28,2452.33,4,2,2,8,1,1,65550.69,65550.69,0,0,0,0,3,3,0,0,0,0.0,0.0,0.0,5,0.37,1,1,0.2,1.0,0,4583.75,4.467902917916553,0.470839378238342,0.04458376511226252,0.125,0.0,0.37159999999999993,0.31129999999999997,0.25666666666666665
C000042,70,6.4,128787,1037094,4962.85,42,100.0,6.7,0.722,0.278,0.652,13.0,0.471,5,0.638,-0.077,5986.03,142.5245238095238,123.715,42,6,2026-08-22,2026-03-29,33,9,66.04459543636463,7.0,0.7857142857142857,0.21428571428571427,7,42,5986.03,4,3,5,12,5,5,873662.98,174732.596,1,1,1,1,6,6,3,0,0,0.5,0.0,0.0,4,0.64325,2,0,0.5,0.0,0,10732.25,8.05278483076708,0.4624240024226048,0.04648007951113078,0.625,0.0,0.54115,0.6664,0.8147500000000001
C000043,25,4.5,115765,629061,4951.26,45,105.21,4.4,0.662,0.338,0.644,18.0,0.522,2,0.481,-0.03,4935.01,109.66688888888889,102.25,45,4,2026-08-25,2026-05-06,34,11,53.54916359682186,11.25,0.7555555555555555,0.24444444444444444,4,45,4935.01,5,4,4,13,2,2,173519.94999999998,86759.97499999999,0,1,0,0,4,4,3,0,0,0.75,0.0,0.0,5,0.46040000000000003,2,0,0.4,0.0,0,9647.083333333334,5.433948084481493,0.5132390618926272,0.04262955124605883,0.25,0.0,0.6003000000000001,0.3943,0.7537499999999999
C000044,35,10.1,224914,664091,13916.36,54,198.12,13.8,0.653,0.347,0.766,8.0,0.536,5,0.94,-0.071,13574.72,251.3837037037037,213.715,54,5,2026-08-15,2026-03-16,36,18,124.10688990492355,10.8,0.6666666666666666,0.3333333333333333,14,54,13574.72,2,5,5,12,5,5,627449.3,125489.86000000002,1,1,0,1,7,7,6,4,2,0.8571428571428571,0.6666666666666666,0.5,2,0.3605,1,0,0.5,0.0,0,18742.833333333332,2.9526441217532033,0.7424896627155269,0.060355157971491324,0.625,0.0,0.5587,0.7195,0.8979166666666667
C000045,55,6.1,52723,401578,2981.14,44,100.0,1.0,0.684,0.316,0.397,12.0,0.282,2,0.664,-0.04,2642.84,60.06454545454546,52.985,44,4,2026-08-28,2026-05-05,30,14,23.919800930040562,11.0,0.6818181818181818,0.3181818181818182,1,44,2642.84,5,4,2,11,2,1,102526.28,51263.14,0,0,0,0,5,5,3,2,0,0.6,0.6666666666666666,0.0,4,0.5365,2,1,0.5,0.5,0,4393.583333333333,7.616751702293117,0.678521328452478,0.05012688959277735,0.25,0.0,0.36915,0.44920000000000004,0.38216666666666665
C000046,36,16.8,104648,967901,3560.45,48,116.29,9.8,0.742,0.258,0.379,9.0,0.106,3,0.564,-0.143,3004.48,62.593333333333334,57.66,48,4,2026-08-19,2026-05-11,35,13,23.65105911292601,12.0,0.7291666666666666,0.2708333333333333,10,48,3004.48,3,4,3,10,3,3,305490.02,101830.00666666667,1,0,0,1,7,7,6,3,1,0.8571428571428571,0.5,0.3333333333333333,2,0.55,2,0,1.0,0.0,0,8720.666666666666,9.24911130647504,0.4082772723797875,0.02871034324592921,0.375,0.0,0.28705,0.46920000000000006,0.739
