customer_id,cluster_id,primary_segment,customer_persona,customer_value_score,value_band,transaction_intensity_score,transactional_behavior,digital_affinity_score,digital_affinity,engagement_level,relationship_status,relationship_depth,spending_behavior,marketing_response_score,marketing_responsiveness,cross_sell_score,cross_sell_opportunity,retention_risk_score,retention_risk,recommendation_readiness_score,recommendation_readiness,genai_priority_score,genai_targeting_priority,recommendation_context
C000001,3,Premium High-Value,Premium Digital Customer,0.6625,High,0.8208333333333333,Very High Transactional,0.7296,Highly Digital,Very High Engagement,Recently Active,Established Relationship,Growing Spender,0.5583333333333333,Responsive,0.6316616666666667,Moderate Cross-Sell Opportunity,0.08541666666666667,Low Risk,0.47123000000000004,Ready,0.609806,Priority 2,Premium High-Value | Premium Digital Customer | High Value | Highly Digital | Very High Transactional | Growing Spender | Established Relationship | Moderate Cross-Sell Opportunity | Low Risk | Ready
C000012,3,Premium High-Value,Premium Relationship Customer,0.8309166666666666,Very High,0.8641666666666666,Very High Transactional,0.6262,Digitally Active,Very High Engagement,Recently Active,Deep Relationship,Stable Spender,0.06999999999999999,Unresponsive,0.56794,Moderate Cross-Sell Opportunity,0.36341666666666667,Moderate Risk,0.5223199999999999,Ready,0.5032578333333333,Priority 2,Premium High-Value | Premium Relationship Customer | Very High Value | Digitally Active | Very High Transactional | Stable Spender | Deep Relationship | Moderate Cross-Sell Opportunity | Moderate Risk | Ready
C000013,3,Premium High-Value,Premium Digital Customer,0.5995833333333334,Medium,0.4808333333333333,Moderate Transactional,0.7284,Highly Digital,High Engagement,Recently Active,Established Relationship,Stable Spender,0.2916666666666667,Low Response,0.5700633333333334,Moderate Cross-Sell Opportunity,0.2725,Low Risk,0.6535,Highly Ready,0.5554148333333333,Priority 2,Premium High-Value | Premium Digital Customer | Medium Value | Highly Digital | Moderate Transactional | Stable Spender | Established Relationship | Moderate Cross-Sell Opportunity | Low Risk | Highly Ready
C000014,3,Premium High-Value,Premium Digital Customer,0.7510833333333332,High,0.84625,Very High Transactional,0.8286,Highly Digital,Very High Engagement,Active,Deep Relationship,Stable Spender,0.5499999999999999,Responsive,0.5340366666666666,Moderate Cross-Sell Opportunity,0.4810416666666667,Moderate Risk,0.5725874999999999,Ready,0.5779162083333332,Priority 2,Premium High-Value | Premium Digital Customer | High Value | Highly Digital | Very High Transactional | Stable Spender | Deep Relationship | Moderate Cross-Sell Opportunity | Moderate Risk | Ready
C000015,1,Core Active,Core Digital Customer,0.14266666666666666,Low,0.2245833333333333,Low Transactional,0.7744,Highly Digital,High Engagement,Active,Shallow Relationship,Stable Spender,0.44999999999999996,Responsive,0.5423549999999999,Moderate Cross-Sell Opportunity,0.6294583333333333,High Risk,0.20492499999999997,Needs Nurturing,0.36239191666666665,Priority 3,Core Active | Core Digital Customer | Low Value | Highly Digital | Low Transactional | Stable Spender | Shallow Relationship | Moderate Cross-Sell Opportunity | High Risk | Needs Nurturing
C000016,1,Core Active,Core Relationship Customer,0.2915,Low,0.38708333333333333,Moderate Transactional,0.5731999999999999,Digitally Active,High Engagement,Recently Active,Developing Relationship,Growing Spender,0.06999999999999999,Unresponsive,0.505115,Moderate Cross-Sell Opportunity,0.28529166666666667,Low Risk,0.6146166666666666,Ready,0.4343845,Priority 3,Core Active | Core Relationship Customer | Low Value | Digitally Active | Moderate Transactional | Growing Spender | Developing Relationship | Moderate Cross-Sell Opportunity | Low Risk | Ready
C000017,0,Dormant / Declining,Dormant Reactivation Target,0.20616666666666666,Low,0.07708333333333334,Low Transactional,0.103,Low Digital,Low Engagement,Dormant,Shallow Relationship,Declining Spender,0.0,Unresponsive,0.3341416666666667,Low Cross-Sell Opportunity,0.9697083333333334,Critical Risk,0.25392499999999996,Needs Nurturing,0.19767791666666668,Priority 4,Dormant / Declining | Dormant Reactivation Target | Low Value | Low Digital | Low Transactional | Declining Spender | Shallow Relationship | Low Cross-Sell Opportunity | Critical Risk | Needs Nurturing
C000018,3,Premium High-Value,Premium Relationship Customer,0.7812500000000001,High,0.6595833333333334,High Transactional,0.38739999999999997,Moderate Digital,High Engagement,Active,Developing Relationship,Declining Spender,0.38749999999999996,Responsive,0.5855633333333334,Moderate Cross-Sell Opportunity,0.5757916666666667,High Risk,0.2506,Needs Nurturing,0.47542733333333337,Priority 3,Premium High-Value | Premium Relationship Customer | High Value | Moderate Digital | High Transactional | Declining Spender | Developing Relationship | Moderate Cross-Sell Opportunity | High Risk | Needs Nurturing
C000019,2,At Risk,At-Risk Declining Customer,0.4681666666666666,Medium,0.26416666666666666,Moderate Transactional,0.5376000000000001,Digitally Active,Moderate Engagement,At Risk,Shallow Relationship,Declining Spender,0.475,Responsive,0.5407116666666667,Moderate Cross-Sell Opportunity,0.8686666666666667,Critical Risk,0.14734999999999998,Low Readiness,0.3774093333333333,Priority 3,At Risk | At-Risk Declining Customer | Medium Value | Digitally Active | Moderate Transactional | Declining Spender | Shallow Relationship | Moderate Cross-Sell Opportunity | Critical Risk | Low Readiness
C000020,1,Core Active,Core Digital Customer,0.34991666666666665,Low,0.42374999999999996,Moderate Transactional,0.7194,Highly Digital,High Engagement,Active,Established Relationship,Stable Spender,0.6791666666666667,Highly Responsive,0.42111333333333334,Low Cross-Sell Opportunity,0.42695833333333333,Moderate Risk,0.56551,Ready,0.5133365000000001,Priority 2,Core Active | Core Digital Customer | Low Value | Highly Digital | Moderate Transactional | Stable Spender | Established Relationship | Low Cross-Sell Opportunity | Moderate Risk | Ready
C000021,1,Core Active,Core Relationship Customer,0.449,Medium,0.5820833333333333,High Transactional,0.46199999999999997,Digitally Active,High Engagement,Recently Active,Developing Relationship,Declining Spender,0.175,Low Response,0.5315916666666667,Moderate Cross-Sell Opportunity,0.39945833333333336,Moderate Risk,0.28805,Needs Nurturing,0.3938941666666666,Priority 3,Core Active | Core Relationship Customer | Medium Value | Digitally Active | High Transactional | Declining Spender | Developing Relationship | Moderate Cross-Sell Opportunity | Moderate Risk | Needs Nurturing
C000022,2,At Risk,At-Risk Engagement Customer,0.03150000000000001,Low,0.05666666666666667,Low Transactional,0.3758,Moderate Digital,Low Engagement,At Risk,Shallow Relationship,Stable Spender,0.11666666666666665,Unresponsive,0.34400166666666665,Low Cross-Sell Opportunity,0.7789999999999999,Critical Risk,0.10231666666666664,Low Readiness,0.178938,Priority 4,At Risk | At-Risk Engagement Customer | Low Value | Moderate Digital | Low Transactional | Stable Spender | Shallow Relationship | Low Cross-Sell Opportunity | Critical Risk | Low Readiness
C000023,3,Premium High-Value,Premium Relationship Customer,0.6571666666666667,High,0.66875,High Transactional,0.6376,Digitally Active,Very High Engagement,Recently Active,Developing Relationship,Growing Spender,0.43999999999999995,Responsive,0.659395,Moderate Cross-Sell Opportunity,0.14945833333333336,Low Risk,0.51811,Ready,0.5989751666666666,Priority 2,Premium High-Value | Premium Relationship Customer | High Value | Digitally Active | High Transactional | Growing Spender | Developing Relationship | Moderate Cross-Sell Opportunity | Low Risk | Ready
C000024,3,Premium High-Value,Premium Digital Customer,0.9354166666666667,Very High,0.9754166666666666,Very High Transactional,0.7594000000000001,Highly Digital,Very High Engagement,Active,Deep Relationship,Growing Spender,0.31,Low Response,0.5897466666666666,Moderate Cross-Sell Opportunity,0.31845833333333334,Low Risk,0.42035,Ready,0.5524781666666666,Priority 2,Premium High-Value | Premium Digital Customer | Very High Value | Highly Digital | Very High Transactional | Growing Spender | Deep Relationship | Moderate Cross-Sell Opportunity | Low Risk | Ready
C000025,1,Core Active,Core Relationship Customer,0.6010833333333333,High,0.7304166666666667,High Transactional,0.583,Digitally Active,High Engagement,Recently Active,Shallow Relationship,Stable Spender,0.0,Unresponsive,0.6581833333333333,Moderate Cross-Sell Opportunity,0.44004166666666666,Moderate Risk,0.23231249999999998,Needs Nurturing,0.4016914583333333,Priority 3,Core Active | Core Relationship Customer | High Value | Digitally Active | High Transactional | Stable Spender | Shallow Relationship | Moderate Cross-Sell Opportunity | Moderate Risk | Needs Nurturing
C000026,3,Premium High-Value,Premium Digital Customer,0.9624166666666667,Very High,0.89375,Very High Transactional,0.8074000000000001,Highly Digital,High Engagement,Recently Active,Established Relationship,Stable Spender,0.7742857142857142,Highly Responsive,0.6503966666666667,Moderate Cross-Sell Opportunity,0.40112499999999995,Moderate Risk,0.37905,Needs Nurturing,0.6489886428571429,Priority 2,Premium High-Value | Premium Digital Customer | Very High Value | Highly Digital | Very High Transactional | Stable Spender | Established Relationship | Moderate Cross-Sell Opportunity | Moderate Risk | Needs Nurturing
C000027,2,At Risk,At-Risk Declining Customer,0.44908333333333333,Medium,0.38208333333333333,Moderate Transactional,0.309,Moderate Digital,Low Engagement,At Risk,Shallow Relationship,Declining Spender,0.0,Unresponsive,0.45389999999999997,Moderate Cross-Sell Opportunity,0.9325416666666667,Critical Risk,0.5623833333333333,Ready,0.35087416666666665,Priority 3,At Risk | At-Risk Declining Customer | Medium Value | Moderate Digital | Moderate Transactional | Declining Spender | Shallow Relationship | Moderate Cross-Sell Opportunity | Critical Risk | Ready
C000028,3,Premium High-Value,Premium Digital Customer,0.9074166666666665,Very High,0.7970833333333333,Very High Transactional,0.7932,Highly Digital,Very High Engagement,Active,Established Relationship,Growing Spender,0.5249999999999999,Responsive,0.6753566666666665,Moderate Cross-Sell Opportunity,0.272125,Low Risk,0.5723625,Ready,0.659597625,Priority 2,Premium High-Value | Premium Digital Customer | Very High Value | Highly Digital | Very High Transactional | Growing Spender | Established Relationship | Moderate Cross-Sell Opportunity | Low Risk | Ready
C000029,1,Core Active,Core Relationship Customer,0.6393333333333333,High,0.42916666666666664,Moderate Transactional,0.4742,Digitally Active,High Engagement,Active,Developing Relationship,Declining Spender,0.175,Low Response,0.5435650000000001,Moderate Cross-Sell Opportunity,0.6920000000000001,High Risk,0.3521875,Needs Nurturing,0.41281637499999996,Priority 3,Core Active | Core Relationship Customer | High Value | Digitally Active | Moderate Transactional | Declining Spender | Developing Relationship | Moderate Cross-Sell Opportunity | High Risk | Needs Nurturing
C000030,2,At Risk,At-Risk Declining Customer,0.31083333333333335,Low,0.15166666666666667,Low Transactional,0.2014,Low Digital,Low Engagement,At Risk,Established Relationship,Declining Spender,0.06999999999999999,Unresponsive,0.24773833333333334,Low Cross-Sell Opportunity,0.9711666666666667,Critical Risk,0.1953875,Low Readiness,0.18667670833333333,Priority 4,At Risk | At-Risk Declining Customer | Low Value | Low Digital | Low Transactional | Declining Spender | Established Relationship | Low Cross-Sell Opportunity | Critical Risk | Low Readiness
C000031,2,At Risk,At-Risk Engagement Customer,0.44749999999999995,Medium,0.2416666666666667,Low Transactional,0.36019999999999996,Moderate Digital,Low Engagement,At Risk,Shallow Relationship,Stable Spender,0.2333333333333333,Low Response,0.47614833333333334,Moderate Cross-Sell Opportunity,0.8938333333333334,Critical Risk,0.0940333333333333,Low Readiness,0.2907611666666666,Priority 4,At Risk | At-Risk Engagement Customer | Medium Value | Moderate Digital | Low Transactional | Stable Spender | Shallow Relationship | Moderate Cross-Sell Opportunity | Critical Risk | Low Readiness
C000032,1,Core Active,Core Relationship Customer,0.336,Low,0.19791666666666669,Low Transactional,0.6911999999999999,Digitally Active,Moderate Engagement,Active,Shallow Relationship,Stable Spender,0.32499999999999996,Low Response,0.569515,Moderate Cross-Sell Opportunity,0.710875,High Risk,0.161,Low Readiness,0.355417,Priority 3,Core Active | Core Relationship Customer | Low Value | Digitally Active | Low Transactional | Stable Spender | Shallow Relationship | Moderate Cross-Sell Opportunity | High Risk | Low Readiness
C000033,2,At Risk,At-Risk Engagement Customer,0.06775,Low,0.13083333333333333,Low Transactional,0.37760000000000005,Moderate Digital,Low Engagement,At Risk,Shallow Relationship,Stable Spender,0.0,Unresponsive,0.35432,Low Cross-Sell Opportunity,0.9248333333333334,Critical Risk,0.13798749999999999,Low Readiness,0.15847204166666665,Priority 4,At Risk | At-Risk Engagement Customer | Low Value | Moderate Digital | Low Transactional | Stable Spender | Shallow Relationship | Low Cross-Sell Opportunity | Critical Risk | Low Readiness
C000034,1,Core Active,Core Relationship Customer,0.6060833333333333,High,0.69,High Transactional,0.4312,Moderate Digital,Moderate Engagement,Active,Established Relationship,Stable Spender,0.2333333333333333,Low Response,0.41754,Low Cross-Sell Opportunity,0.59675,High Risk,0.18042499999999997,Low Readiness,0.34827241666666664,Priority 3,Core Active | Core Relationship Customer | High Value | Moderate Digital | High Transactional | Stable Spender | Established Relationship | Low Cross-Sell Opportunity | High Risk | Low Readiness
C000035,1,Core Active,Core Relationship Customer,0.3764166666666667,Medium,0.38583333333333336,Moderate Transactional,0.6086,Digitally Active,High Engagement,Recently Active,Developing Relationship,Declining Spender,0.11666666666666665,Unresponsive,0.5554533333333334,Moderate Cross-Sell Opportunity,0.43366666666666664,Moderate Risk,0.1524833333333333,Low Readiness,0.341186,Priority 3,Core Active | Core Relationship Customer | Medium Value | Digitally Active | Moderate Transactional | Declining Spender | Developing Relationship | Moderate Cross-Sell Opportunity | Moderate Risk | Low Readiness
C000036,1,Core Active,Core Relationship Customer,0.2510833333333333,Low,0.19208333333333333,Low Transactional,0.5963999999999999,Digitally Active,High Engagement,Active,Developing Relationship,Stable Spender,0.06999999999999999,Unresponsive,0.4874966666666667,Moderate Cross-Sell Opportunity,0.416125,Moderate Risk,0.3474625,Needs Nurturing,0.34316462499999995,Priority 3,Core Active | Core Relationship Customer | Low Value | Digitally Active | Low Transactional | Stable Spender | Developing Relationship | Moderate Cross-Sell Opportunity | Moderate Risk | Needs Nurturing
C000037,1,Core Active,Core Digital Customer,0.5526666666666668,Medium,0.8258333333333333,Very High Transactional,0.7394000000000001,Highly Digital,High Engagement,Active,Shallow Relationship,Stable Spender,0.5583333333333333,Responsive,0.6539383333333334,Moderate Cross-Sell Opportunity,0.35074999999999995,Moderate Risk,0.23414999999999997,Needs Nurturing,0.5142106666666668,Priority 2,Core Active | Core Digital Customer | Medium Value | Highly Digital | Very High Transactional | Stable Spender | Shallow Relationship | Moderate Cross-Sell Opportunity | Moderate Risk | Needs Nurturing
C000038,1,Core Active,Core Digital Customer,0.48074999999999996,Medium,0.49666666666666665,Moderate Transactional,0.8035999999999999,Highly Digital,Very High Engagement,Active,Shallow Relationship,Stable Spender,0.7374999999999999,Highly Responsive,0.6551533333333334,Moderate Cross-Sell Opportunity,0.38783333333333325,Moderate Risk,0.26165999999999995,Needs Nurturing,0.5427901666666667,Priority 2,Core Active | Core Digital Customer | Medium Value | Highly Digital | Moderate Transactional | Stable Spender | Shallow Relationship | Moderate Cross-Sell Opportunity | Moderate Risk | Needs Nurturing
C000039,1,Core Active,Core Relationship Customer,0.5719166666666666,Medium,0.4458333333333334,Moderate Transactional,0.38320000000000004,Moderate Digital,Moderate Engagement,Active,Developing Relationship,Growing Spender,0.32499999999999996,Low Response,0.5162066666666667,Moderate Cross-Sell Opportunity,0.4796666666666667,Moderate Risk,0.6167166666666666,Ready,0.511862,Priority 2,Core Active | Core Relationship Customer | Medium Value | Moderate Digital | Moderate Transactional | Growing Spender | Developing Relationship | Moderate Cross-Sell Opportunity | Moderate Risk | Ready
C000040,1,Core Active,Core Digital Customer,0.21550000000000002,Low,0.5529166666666667,High Transactional,0.702,Highly Digital,High Engagement,Active,Established Relationship,Declining Spender,0.3583333333333333,Responsive,0.3990916666666667,Low Cross-Sell Opportunity,0.6349583333333333,High Risk,0.2811375,Needs Nurturing,0.3305077083333333,Priority 3,Core Active | Core Digital Customer | Low Value | Highly Digital | High Transactional | Declining Spender | Established Relationship | Low Cross-Sell Opportunity | High Risk | Needs Nurturing
C000041,1,Core Active,Core Relationship Customer,0.2618333333333333,Low,0.2641666666666667,Moderate Transactional,0.4072,Moderate Digital,Moderate Engagement,Recently Active,Shallow Relationship,Stable Spender,0.0,Unresponsive,0.534265,Moderate Cross-Sell Opportunity,0.366,Moderate Risk,0.4995,Ready,0.3878295,Priority 3,Core Active | Core Relationship Customer | Low Value | Moderate Digital | Moderate Transactional | Stable Spender | Shallow Relationship | Moderate Cross-Sell Opportunity | Moderate Risk | Ready
C000042,3,Premium High-Value,Premium Relationship Customer,0.7991666666666667,High,0.6591666666666667,High Transactional,0.6464000000000001,Digitally Active,High Engagement,Recently Active,Deep Relationship,Stable Spender,0.175,Low Response,0.5482716666666667,Moderate Cross-Sell Opportunity,0.4500833333333334,Moderate Risk,0.4001375,Ready,0.47438254166666666,Priority 3,Premium High-Value | Premium Relationship Customer | High Value | Digitally Active | High Transactional | Stable Spender | Deep Relationship | Moderate Cross-Sell Opportunity | Moderate Risk | Ready
C000043,1,Core Active,Core Relationship Customer,0.7474999999999998,High,0.6962499999999999,High Transactional,0.5788,Digitally Active,Moderate Engagement,Recently Active,Developing Relationship,Stable Spender,0.26249999999999996,Low Response,0.6325350000000001,Moderate Cross-Sell Opportunity,0.44695833333333335,Moderate Risk,0.30113999999999996,Needs Nurturing,0.48497466666666667,Priority 3,Core Active | Core Relationship Customer | High Value | Digitally Active | High Transactional | Stable Spender | Developing Relationship | Moderate Cross-Sell Opportunity | Moderate Risk | Needs Nurturing
C000044,3,Premium High-Value,Premium Digital Customer,0.8854166666666665,Very High,0.8933333333333333,Very High Transactional,0.8356,Highly Digital,Very High Engagement,Active,Deep Relationship,Stable Spender,0.675,Highly Responsive,0.6290366666666667,Moderate Cross-Sell Opportunity,0.44966666666666666,Moderate Risk,0.30117499999999997,Needs Nurturing,0.5868505833333334,Priority 2,Premium High-Value | Premium Digital Customer | Very High Value | Highly Digital | Very High Transactional | Stable Spender | Deep Relationship | Moderate Cross-Sell Opportunity | Moderate Risk | Needs Nurturing
C000045,1,Core Active,Core Relationship Customer,0.41683333333333333,Medium,0.5541666666666667,High Transactional,0.5038,Digitally Active,High Engagement,Recently Active,Developing Relationship,Stable Spender,0.41,Responsive,0.5621183333333334,Moderate Cross-Sell Opportunity,0.2876666666666666,Low Risk,0.512775,Ready,0.5125875833333334,Priority 2,Core Active | Core Relationship Customer | Medium Value | Digitally Active | High Transactional | Stable Spender | Developing Relationship | Moderate Cross-Sell Opportunity | Low Risk | Ready
C000046,3,Premium High-Value,Premium Relationship Customer,0.74875,High,0.6566666666666666,High Transactional,0.45299999999999996,Digitally Active,High Engagement,Active,Established Relationship,Declining Spender,0.5666666666666667,Responsive,0.5288666666666667,Moderate Cross-Sell Opportunity,0.5135000000000001,Moderate Risk,0.5425,Ready,0.5685808333333333,Priority 2,Premium High-Value | Premium Relationship Customer | High Value | Digitally Active | High Transactional | Declining Spender | Established Relationship | Moderate Cross-Sell Opportunity | Moderate Risk | Ready
C000047,1,Core Active,Core Relationship Customer,0.541625,Medium,0.45583333333333337,Moderate Transactional,0.6117999999999999,Digitally Active,Moderate Engagement,Active,Developing Relationship,Stable Spender,0.6166666666666667,Highly Responsive,0.5432891666666667,Moderate Cross-Sell Opportunity,0.5135000000000001,Moderate Risk,0.4275833333333333,Ready,0.5231096666666667,Priority 2,Core Active | Core Relationship Customer | Medium Value | Digitally Active | Moderate Transactional | Stable Spender | Developing Relationship | Moderate Cross-Sell Opportunity | Moderate Risk | Ready
C000048,1,Core Active,Core Relationship Customer,0.248,Low,0.19875,Low Transactional,0.5768,Digitally Active,Moderate Engagement,Recently Active,Shallow Relationship,Stable Spender,0.59,Responsive,0.5755016666666666,Moderate Cross-Sell Opportunity,0.3282916666666667,Low Risk,0.27124999999999994,Needs Nurturing,0.4628338333333333,Priority 3,Core Active | Core Relationship Customer | Low Value | Digitally Active | Low Transactional | Stable Spender | Shallow Relationship | Moderate Cross-Sell Opportunity | Low Risk | Needs Nurturing
C000049,3,Premium High-Value,Premium Relationship Customer,0.6624166666666667,High,0.8066666666666665,Very High Transactional,0.6294,Digitally Active,Very High Engagement,Active,Established Relationship,Growing Spender,0.19999999999999998,Low Response,0.4931133333333333,Moderate Cross-Sell Opportunity,0.4056666666666667,Moderate Risk,0.5084333333333333,Ready,0.47383816666666656,Priority 3,Premium High-Value | Premium Relationship Customer | High Value | Digitally Active | Very High Transactional | Growing Spender | Established Relationship | Moderate Cross-Sell Opportunity | Moderate Risk | Ready
C000050,1,Core Active,Core Relationship Customer,0.14466666666666667,Low,0.17583333333333334,Low Transactional,0.3336,Moderate Digital,High Engagement,Active,Developing Relationship,Declining Spender,0.37,Responsive,0.4058616666666667,Low Cross-Sell Opportunity,0.5751666666666667,High Risk,0.28153999999999996,Needs Nurturing,0.3303268333333333,Priority 3,Core Active | Core Relationship Customer | Low Value | Moderate Digital | Low Transactional | Declining Spender | Developing Relationship | Low Cross-Sell Opportunity | High Risk | Needs Nurturing
C000051,1,Core Active,Core Relationship Customer,0.6104166666666666,High,0.5154166666666666,High Transactional,0.564,Digitally Active,High Engagement,Active,Established Relationship,Declining Spender,0.31,Low Response,0.4920833333333333,Moderate Cross-Sell Opportunity,0.6550416666666666,High Risk,0.2471,Needs Nurturing,0.3974583333333333,Priority 3,Core Active | Core Relationship Customer | High Value | Digitally Active | High Transactional | Declining Spender | Established Relationship | Moderate Cross-Sell Opportunity | High Risk | Needs Nurturing
C000052,1,Core Active,Core Relationship Customer,0.07783333333333334,Low,0.17333333333333334,Low Transactional,0.5538,Digitally Active,Moderate Engagement,Active,Shallow Relationship,Stable Spender,0.41666666666666663,Responsive,0.438435,Low Cross-Sell Opportunity,0.6493333333333333,High Risk,0.4465199999999999,Ready,0.3732355,Priority 3,Core Active | Core Relationship Customer | Low Value | Digitally Active | Low Transactional | Stable Spender | Shallow Relationship | Low Cross-Sell Opportunity | High Risk | Ready
C000053,1,Core Active,Core Relationship Customer,0.4404166666666667,Medium,0.6325000000000001,High Transactional,0.6164000000000001,Digitally Active,Very High Engagement,Recently Active,Developing Relationship,Growing Spender,0.72,Highly Responsive,0.5973133333333333,Moderate Cross-Sell Opportunity,0.10566666666666669,Low Risk,0.53828,Ready,0.6132598333333333,Priority 2,Core Active | Core Relationship Customer | Medium Value | Digitally Active | High Transactional | Growing Spender | Developing Relationship | Moderate Cross-Sell Opportunity | Low Risk | Ready
